Web Search interest: heroes of the storm
Worldwide Sep-Oct 2015

Interest over time
Day,heroes of the storm
2015-09-01,87
2015-09-02,76
2015-09-03,82
2015-09-04,83
2015-09-05,93
2015-09-06,97
2015-09-07,86
2015-09-08,100
2015-09-09,98
2015-09-10,73
2015-09-11,78
2015-09-12,86
2015-09-13,92
2015-09-14,74
2015-09-15,71
2015-09-16,75
2015-09-17,62
2015-09-18,72
2015-09-19,91
2015-09-20,99
2015-09-21,83
2015-09-22,82
2015-09-23,71
2015-09-24,72
2015-09-25,74
2015-09-26,94
2015-09-27,93
2015-09-28,79
2015-09-29,82
2015-09-30,65
2015-10-01,65
2015-10-02,75
2015-10-03,88
2015-10-04,87
2015-10-05,70
2015-10-06,79
2015-10-07,82
2015-10-08,69
2015-10-09,65
2015-10-10,75
2015-10-11,76
2015-10-12,68
2015-10-13,64
2015-10-14,67
2015-10-15,63
2015-10-16,62
2015-10-17,67
2015-10-18,72
2015-10-19,60
2015-10-20,69
2015-10-21,66
2015-10-22,59
2015-10-23,59
2015-10-24,72
2015-10-25,71
2015-10-26,62
2015-10-27,75
2015-10-28,72
2015-10-29,77
2015-10-30,61
2015-10-31,67


Top regions for heroes of the storm
Region,heroes of the storm
Canada,100
Germany,77
Russia,66
Poland,66
France,60
United States,59
Spain,59
United Kingdom,39
Brazil,33


Top cities for heroes of the storm
Town/City,heroes of the storm
Stockholm (Sweden),100
Singapore (Singapore),99
Toronto (Canada),92
Berlin (Germany),83
Moscow (Russia),82
Santiago (Chile),70
Los Angeles (United States),69
Paris (France),62
Sydney (Australia),57
Madrid (Spain),49
New York (United States),43
Bangkok (Thailand),36
London (United Kingdom),27



Top searches for heroes of the storm
hots,100
artanis,65
rexxar,40
blizzard,35
heroes wiki,30
blizzcon,20
battlenet,15
moba,15
heroes 7,15
kharazim,10
battle net,10
hotslogs,10



Rising searches for heroes of the storm
artanis,+650%
rexxar,+300%
blizzcon,+250%



