Web Search interest: heroes of the storm
Worldwide Nov-Dec 2015

Interest over time
Day,heroes of the storm
2015-11-01,46
2015-11-02,42
2015-11-03,39
2015-11-04,36
2015-11-05,37
2015-11-06,55
2015-11-07,100
2015-11-08,83
2015-11-09,59
2015-11-10,51
2015-11-11,46
2015-11-12,44
2015-11-13,42
2015-11-14,42
2015-11-15,45
2015-11-16,42
2015-11-17,51
2015-11-18,53
2015-11-19,43
2015-11-20,43
2015-11-21,49
2015-11-22,48
2015-11-23,42
2015-11-24,47
2015-11-25,43
2015-11-26,39
2015-11-27,43
2015-11-28,47
2015-11-29,45
2015-11-30,36
2015-12-01,45
2015-12-02,34
2015-12-03,32
2015-12-04,38
2015-12-05,43
2015-12-06,43
2015-12-07,36
2015-12-08,45
2015-12-09,44
2015-12-10,38
2015-12-11,36
2015-12-12,47
2015-12-13,46
2015-12-14,38
2015-12-15,47
2015-12-16,48
2015-12-17,37
2015-12-18,39
2015-12-19,43
2015-12-20,46
2015-12-21,41
2015-12-22, 
2015-12-23, 


Top regions for heroes of the storm
Region,heroes of the storm
Canada,100
Germany,79
Spain,66
Russia,63
France,61
United States,60
United Kingdom,40
Brazil,38


Top cities for heroes of the storm
Town/City,heroes of the storm
Singapore (Singapore),100
Santiago (Chile),76
Moscow (Russia),69
Berlin (Germany),68
Paris (France),44
London (United Kingdom),24



Top searches for heroes of the storm
hots,100
blizzcon,35
artanis,30
lunara,25
forum heroes,25
battlenet,20
cho gall,15
blizzcon 2015,15
moba,10



Rising searches for heroes of the storm
cho gall,Breakout
lunara,Breakout
blizzcon 2015,+180%
blizzcon,+130%



