Web Search interest: hots heroes
Worldwide Mar-Apr 2015

Interest over time
Day,hots heroes
2015-03-01,45
2015-03-02,43
2015-03-03,41
2015-03-04,36
2015-03-05,30
2015-03-06,48
2015-03-07,66
2015-03-08,59
2015-03-09,51
2015-03-10,44
2015-03-11,36
2015-03-12,40
2015-03-13,48
2015-03-14,63
2015-03-15,57
2015-03-16,42
2015-03-17,70
2015-03-18,46
2015-03-19,37
2015-03-20,45
2015-03-21,56
2015-03-22,71
2015-03-23,65
2015-03-24,80
2015-03-25,98
2015-03-26,76
2015-03-27,65
2015-03-28,84
2015-03-29,100
2015-03-30,91
2015-03-31,66
2015-04-01,63
2015-04-02,60
2015-04-03,83
2015-04-04,83
2015-04-05,88
2015-04-06,80
2015-04-07,61
2015-04-08,76
2015-04-09,85
2015-04-10,77
2015-04-11,76
2015-04-12,77
2015-04-13,56
2015-04-14,52
2015-04-15,55
2015-04-16,44
2015-04-17,53
2015-04-18,59
2015-04-19,54
2015-04-20,58
2015-04-21,55
2015-04-22,41
2015-04-23,51
2015-04-24,48
2015-04-25,59
2015-04-26,74
2015-04-27,53
2015-04-28,40
2015-04-29,44
2015-04-30,40



Top searches for hots heroes
hots key,100






