Web Search interest: hots
Worldwide Jan-Feb 2014

Interest over time
Day,hots
2014-01-01,98
2014-01-02,82
2014-01-03,92
2014-01-04,95
2014-01-05,91
2014-01-06,79
2014-01-07,71
2014-01-08,82
2014-01-09,80
2014-01-10,92
2014-01-11,100
2014-01-12,87
2014-01-13,76
2014-01-14,72
2014-01-15,63
2014-01-16,77
2014-01-17,85
2014-01-18,100
2014-01-19,91
2014-01-20,79
2014-01-21,77
2014-01-22,70
2014-01-23,82
2014-01-24,84
2014-01-25,98
2014-01-26,93
2014-01-27,85
2014-01-28,74
2014-01-29,89
2014-01-30,77
2014-01-31,83
2014-02-01,89
2014-02-02,87
2014-02-03,69
2014-02-04,74
2014-02-05,80
2014-02-06,65
2014-02-07,82
2014-02-08,86
2014-02-09,88
2014-02-10,76
2014-02-11,77
2014-02-12,72
2014-02-13,75
2014-02-14,81
2014-02-15,91
2014-02-16,92
2014-02-17,78
2014-02-18,77
2014-02-19,77
2014-02-20,77
2014-02-21,92
2014-02-22,96
2014-02-23,95
2014-02-24,76
2014-02-25,75
2014-02-26,77
2014-02-27,81
2014-02-28,82


Top regions for hots
Region,hots
Indonesia,100
India,45
United States,15


Top cities for hots
City,hots
Surabaya (Indonesia),100
Jakarta (Indonesia),66
Buenos Aires (Argentina),37
Pune (India),36
New Delhi (India),34
Mumbai (India),31
Bangalore (India),29



Top searches for hots
red hots,100
video hots,70
videos hots,65
sc2 hots,55
foto hots,55
hots girls,50
fotos hots de,50
cerita hots,25






