Web Search interest: hots
Worldwide Mar-Apr 2011

Interest over time
Day,hots
2011-03-01,76
2011-03-02,62
2011-03-03,81
2011-03-04,90
2011-03-05,100
2011-03-06,86
2011-03-07,77
2011-03-08,79
2011-03-09,61
2011-03-10,78
2011-03-11,87
2011-03-12,84
2011-03-13,75
2011-03-14,65
2011-03-15,67
2011-03-16,61
2011-03-17,67
2011-03-18,74
2011-03-19,84
2011-03-20,71
2011-03-21,77
2011-03-22,78
2011-03-23,77
2011-03-24,63
2011-03-25,82
2011-03-26,89
2011-03-27,79
2011-03-28,70
2011-03-29,80
2011-03-30,71
2011-03-31,60
2011-04-01,70
2011-04-02,77
2011-04-03,78
2011-04-04,63
2011-04-05,69
2011-04-06,76
2011-04-07,66
2011-04-08,81
2011-04-09,97
2011-04-10,71
2011-04-11,60
2011-04-12,89
2011-04-13,77
2011-04-14,73
2011-04-15,83
2011-04-16,90
2011-04-17,95
2011-04-18,63
2011-04-19,79
2011-04-20,66
2011-04-21,92
2011-04-22,92
2011-04-23,86
2011-04-24,96
2011-04-25,78
2011-04-26,62
2011-04-27,71
2011-04-28,74
2011-04-29,81
2011-04-30,89


Top regions for hots
Region,hots
United States,100





Top searches for hots
red hots,100






