Web Search interest: hots
Worldwide May-Jun 2014

Interest over time
Day,hots
2014-05-01,84
2014-05-02,80
2014-05-03,78
2014-05-04,85
2014-05-05,73
2014-05-06,65
2014-05-07,73
2014-05-08,66
2014-05-09,67
2014-05-10,82
2014-05-11,78
2014-05-12,64
2014-05-13,76
2014-05-14,80
2014-05-15,76
2014-05-16,80
2014-05-17,85
2014-05-18,80
2014-05-19,70
2014-05-20,75
2014-05-21,68
2014-05-22,72
2014-05-23,68
2014-05-24,79
2014-05-25,90
2014-05-26,84
2014-05-27,75
2014-05-28,72
2014-05-29,75
2014-05-30,88
2014-05-31,78
2014-06-01,91
2014-06-02,67
2014-06-03,71
2014-06-04,71
2014-06-05,76
2014-06-06,77
2014-06-07,92
2014-06-08,95
2014-06-09,79
2014-06-10,69
2014-06-11,76
2014-06-12,62
2014-06-13,83
2014-06-14,85
2014-06-15,81
2014-06-16,71
2014-06-17,76
2014-06-18,77
2014-06-19,72
2014-06-20,85
2014-06-21,100
2014-06-22,91
2014-06-23,72
2014-06-24,76
2014-06-25,75
2014-06-26,80
2014-06-27,82
2014-06-28,78
2014-06-29,85
2014-06-30,68


Top regions for hots
Region,hots
Indonesia,100
India,49
United States,17


Top cities for hots
Town/City,hots
Medan (Indonesia),100
Jakarta (Indonesia),71
Mumbai (India),41
Pune (India),39
Buenos Aires (Argentina),38



Top searches for hots
red hots,100
video hots,70
videos hots,60
foto hots,55
cerita hots,40






