Web Search interest: hots
Worldwide Nov-Dec 2009

Interest over time
Day,hots
2009-11-01,82
2009-11-02,64
2009-11-03,63
2009-11-04,67
2009-11-05,69
2009-11-06,72
2009-11-07,86
2009-11-08,69
2009-11-09,55
2009-11-10,64
2009-11-11,57
2009-11-12,74
2009-11-13,63
2009-11-14,78
2009-11-15,72
2009-11-16,50
2009-11-17,56
2009-11-18,65
2009-11-19,74
2009-11-20,75
2009-11-21,95
2009-11-22,76
2009-11-23,56
2009-11-24,64
2009-11-25,45
2009-11-26,63
2009-11-27,60
2009-11-28,80
2009-11-29,64
2009-11-30,60
2009-12-01,47
2009-12-02,63
2009-12-03,70
2009-12-04,66
2009-12-05,89
2009-12-06,80
2009-12-07,49
2009-12-08,70
2009-12-09,63
2009-12-10,56
2009-12-11,75
2009-12-12,57
2009-12-13,69
2009-12-14,55
2009-12-15,75
2009-12-16,60
2009-12-17,64
2009-12-18,72
2009-12-19,81
2009-12-20,55
2009-12-21,64
2009-12-22,62
2009-12-23,66
2009-12-24,73
2009-12-25,73
2009-12-26,76
2009-12-27,56
2009-12-28,78
2009-12-29,77
2009-12-30,63
2009-12-31,100



Top searches for hots
red hots,100
fotos hots,50



Rising searches for hots
red hots,+40%



