Israel,0
Romania,341
Chile,239
Spain,95
Brasil,271
India,917
United Arab Emirates,18
Canada,43
Ecuador,789
Norway,153
Germany,232
New Zealand,647
Australia,379
South Korea,352
Colombia,66
Peru,431
Uruguay,285
Georgia,10
Lithuania,338
San Marino,15
Bolivia,164
Philippines,229
Bulgaria,575
Portugal,281
Vietnam,101
Hungary,119
Belarus,645
Luxembourg,523
United States,129
France,113
Montenegro,316
Paraguay,123
Argentina,0
Venezuela,365
