Web Search interest: infinite crisis
Worldwide Mar-Apr 2014

Interest over time
Day,infinite crisis
2014-03-01,27
2014-03-02,23
2014-03-03,18
2014-03-04,17
2014-03-05,17
2014-03-06,14
2014-03-07,12
2014-03-08,15
2014-03-09,14
2014-03-10,12
2014-03-11,8
2014-03-12,9
2014-03-13,11
2014-03-14,91
2014-03-15,100
2014-03-16,60
2014-03-17,44
2014-03-18,35
2014-03-19,30
2014-03-20,26
2014-03-21,34
2014-03-22,47
2014-03-23,34
2014-03-24,23
2014-03-25,21
2014-03-26,27
2014-03-27,24
2014-03-28,24
2014-03-29,30
2014-03-30,24
2014-03-31,16
2014-04-01,13
2014-04-02,12
2014-04-03,12
2014-04-04,16
2014-04-05,16
2014-04-06,18
2014-04-07,12
2014-04-08,13
2014-04-09,14
2014-04-10,15
2014-04-11,16
2014-04-12,21
2014-04-13,22
2014-04-14,17
2014-04-15,17
2014-04-16,19
2014-04-17,14
2014-04-18,16
2014-04-19,15
2014-04-20,18
2014-04-21,13
2014-04-22,14
2014-04-23,11
2014-04-24,14
2014-04-25,11
2014-04-26,14
2014-04-27,14
2014-04-28,11
2014-04-29,11
2014-04-30,10


Top regions for infinite crisis
Region,infinite crisis
United States,100





Top searches for infinite crisis
infinite crisis game,100
dc infinite crisis,85
infinite crisis moba,60
infinite crisis download,55
moba,55
infinite crisis gameplay,45
infinite crisis beta,45
infinite crisis wiki,45
infinity crisis,35



Rising searches for infinite crisis
infinite crisis gameplay,+70%



