Web Search interest: infinite crisis
Worldwide Nov-Dec 2014

Interest over time
Day,infinite crisis
2014-11-01,68
2014-11-02,83
2014-11-03,60
2014-11-04,53
2014-11-05,75
2014-11-06,55
2014-11-07,62
2014-11-08,84
2014-11-09,71
2014-11-10,59
2014-11-11,59
2014-11-12,59
2014-11-13,53
2014-11-14,55
2014-11-15,66
2014-11-16,59
2014-11-17,57
2014-11-18,64
2014-11-19,69
2014-11-20,60
2014-11-21,52
2014-11-22,56
2014-11-23,63
2014-11-24,48
2014-11-25,31
2014-11-26,79
2014-11-27,60
2014-11-28,43
2014-11-29,58
2014-11-30,46
2014-12-01,41
2014-12-02,50
2014-12-03,70
2014-12-04,89
2014-12-05,85
2014-12-06,100
2014-12-07,68
2014-12-08,57
2014-12-09,61
2014-12-10,69
2014-12-11,57
2014-12-12,54
2014-12-13,69
2014-12-14,70
2014-12-15,44
2014-12-16,57
2014-12-17,50
2014-12-18,51
2014-12-19,56
2014-12-20,68
2014-12-21,70
2014-12-22,59
2014-12-23,55
2014-12-24,64
2014-12-25,80
2014-12-26,48
2014-12-27,67
2014-12-28,49
2014-12-29,48
2014-12-30,51
2014-12-31,62


Top regions for infinite crisis
Region,infinite crisis
United States,100





Top searches for infinite crisis
dc infinite crisis,100
strife,65



Rising searches for infinite crisis
strife,Breakout



