Web Search interest: infinite crisis
Worldwide Jul-Aug 2014

Interest over time
Day,infinite crisis
2014-07-01,79
2014-07-02,44
2014-07-03,92
2014-07-04,100
2014-07-05,90
2014-07-06,71
2014-07-07,73
2014-07-08,62
2014-07-09,59
2014-07-10,69
2014-07-11,53
2014-07-12,71
2014-07-13,71
2014-07-14,56
2014-07-15,68
2014-07-16,68
2014-07-17,67
2014-07-18,40
2014-07-19,53
2014-07-20,80
2014-07-21,52
2014-07-22,60
2014-07-23,58
2014-07-24,70
2014-07-25,52
2014-07-26,76
2014-07-27,57
2014-07-28,64
2014-07-29,57
2014-07-30,60
2014-07-31,49
2014-08-01,63
2014-08-02,66
2014-08-03,72
2014-08-04,56
2014-08-05,61
2014-08-06,50
2014-08-07,68
2014-08-08,50
2014-08-09,60
2014-08-10,57
2014-08-11,38
2014-08-12,57
2014-08-13,55
2014-08-14,49
2014-08-15,63
2014-08-16,65
2014-08-17,65
2014-08-18,48
2014-08-19,46
2014-08-20,56
2014-08-21,53
2014-08-22,54
2014-08-23,56
2014-08-24,40
2014-08-25,38
2014-08-26,48
2014-08-27,53
2014-08-28,48
2014-08-29,50
2014-08-30,57
2014-08-31,53


Top regions for infinite crisis
Region,infinite crisis
United States,100





Top searches for infinite crisis
dc infinite crisis,100






