Australia,0
Canada,2034
Philippines,290
Colombia,33
Georgia,324
New Zealand,599
Chile,28
Italy,330
Greece,192
Romania,121
Venezuela,277
Mexico,561
Poland,2238
Bolivia,1704
United States,836
Thailand,2703
Montenegro,759
Bulgaria,14
Hungary,38
United Kingdom,477
Paraguay,1953
Serbia,340
The Netherlands,382
Ireland,29
Lithuania,329
Uruguay,417
Guayana,493
Argentina,95
India,377
South Korea,559
Croatia,394
Peru,1126
China,32
Russia,322
Vietnam,99
Luxembourg,1735
Moldova,617
Ecuador,0
Brasil,457
