Mexico,0
United States,1191
Argentina,10
Norway,1611
Venezuela,11
Hungary,160
Switzerland,1399
Brasil,522
Canada,306
Bolivia,37
Philippines,276
Ukraine,1260
Peru,1998
Guayana,960
Uruguay,4
Australia,66
Macedonia,328
Croatia,5
Slovakia,81
Czech Republic,258
Denmark,728
Belgium,2445
Finland,251
United Arab Emirates,612
Russia,127
Ecuador,98
Thailand,765
Israel,7
New Zealand,162
Moldova,1466
San Marino,40
Iceland,40
France,229
Poland,57
Chile,497
Ireland,457
Colombia,1130
Estonia,1216
South Korea,766
Malta,0
Paraguay,983
