Web Search interest: league of legends world championship
Worldwide Sep-Oct 2012

Interest over time
Week,league of legends world championship
2012-09-02 - 2012-09-08,4
2012-09-09 - 2012-09-15,2
2012-09-16 - 2012-09-22,4
2012-09-23 - 2012-09-29,3
2012-09-30 - 2012-10-06,100
2012-10-07 - 2012-10-13,71
2012-10-14 - 2012-10-20,36
2012-10-21 - 2012-10-27,4
2012-10-28 - 2012-11-03,3


Top regions for league of legends world championship
Region,league of legends world championship
United States,100





Top searches for league of legends world championship
lol world championship,100



Rising searches for league of legends world championship
lol world championship,Breakout



