Web Search interest: league of legends world championship
Worldwide Sep-Oct 2013

Interest over time
Day,league of legends world championship
2013-09-01,9
2013-09-02,7
2013-09-03,6
2013-09-04,7
2013-09-05,7
2013-09-06,8
2013-09-07,10
2013-09-08,8
2013-09-09,7
2013-09-10,8
2013-09-11,9
2013-09-12,9
2013-09-13,26
2013-09-14,30
2013-09-15,87
2013-09-16,79
2013-09-17,59
2013-09-18,50
2013-09-19,30
2013-09-20,35
2013-09-21,49
2013-09-22,46
2013-09-23,43
2013-09-24,37
2013-09-25,32
2013-09-26,18
2013-09-27,19
2013-09-28,62
2013-09-29,29
2013-09-30,9
2013-10-01,9
2013-10-02,8
2013-10-03,11
2013-10-04,31
2013-10-05,100
2013-10-06,18
2013-10-07,10
2013-10-08,8
2013-10-09,6
2013-10-10,0
2013-10-11,0
2013-10-12,0
2013-10-13,0
2013-10-14,0
2013-10-15,0
2013-10-16,0
2013-10-17,0
2013-10-18,0
2013-10-19,0
2013-10-20,0
2013-10-21,0
2013-10-22,0
2013-10-23,0
2013-10-24,0
2013-10-25,0
2013-10-26,0
2013-10-27,0
2013-10-28,0
2013-10-29,0
2013-10-30,0
2013-10-31,0


Top regions for league of legends world championship
Region,league of legends world championship
United States,100











