Web Search interest: lcs
Worldwide Mar-Apr 2014

Interest over time
Day,lcs
2014-03-01,91
2014-03-02,100
2014-03-03,47
2014-03-04,75
2014-03-05,79
2014-03-06,85
2014-03-07,83
2014-03-08,97
2014-03-09,97
2014-03-10,48
2014-03-11,31
2014-03-12,35
2014-03-13,36
2014-03-14,40
2014-03-15,39
2014-03-16,37
2014-03-17,24
2014-03-18,22
2014-03-19,24
2014-03-20,54
2014-03-21,62
2014-03-22,70
2014-03-23,68
2014-03-24,35
2014-03-25,27
2014-03-26,27
2014-03-27,59
2014-03-28,77
2014-03-29,80
2014-03-30,83
2014-03-31,48
2014-04-01,71
2014-04-02,69
2014-04-03,72
2014-04-04,66
2014-04-05,75
2014-04-06,90
2014-04-07,42
2014-04-08,31
2014-04-09,27
2014-04-10,34
2014-04-11,32
2014-04-12,36
2014-04-13,36
2014-04-14,31
2014-04-15,61
2014-04-16,78
2014-04-17,89
2014-04-18,72
2014-04-19,82
2014-04-20,99
2014-04-21,58
2014-04-22,27
2014-04-23,25
2014-04-24,39
2014-04-25,41
2014-04-26,42
2014-04-27,45
2014-04-28,34
2014-04-29,22
2014-04-30,21


Top regions for lcs
Region,lcs
Poland,100
Sweden,97
France,66
Canada,63
Germany,51
Spain,47
United States,30
United Kingdom,25
Brazil,15


Top cities for lcs
City,lcs
Caen (France),100
Krakow (Poland),10
Zagreb (Croatia),9
Athens (Greece),8
Toronto (Canada),6
Warsaw (Poland),5
Stockholm (Sweden),5
Paris (France),3
Madrid (Spain),3
Sydney (Australia),3
New York (United States),2
London (United Kingdom),2



Top searches for lcs
2014 lcs,100
lol lcs,95
lcs na,85
lcs eu,80
league lcs,45
lcs youtube,25
twitch lcs,20
lcs 2014 eu,20
lcs schedule,20
lcs na 2014,15
gta lcs,15
lcs standings,15
lcs spring,15
lol lcs 2014,15
tsm,15
lcs season 4,10
lcs stream,10
lcs spring 2014,10
lcs 2,10
lol lcs eu,10
lol na lcs,10
lcs live,10
lcs esports,10
esports,10
fnatic,10
lcs na standings,5
all star lcs,5
lcs playoffs,5
bjergsen,5
lcs 2013,5
lcs europe,5
lcs wiki,5
eu lcs standings,5
lcs teams,5
clg,5
euw lcs,5
iem,5
leaguepedia lcs,5
what is lcs,5
lol esports,5



Rising searches for lcs
all star lcs,Breakout
lcs playoffs,Breakout
iem,+300%
eu lcs standings,+180%
lcs finals,+170%
bjergsen,+120%
lcs na standings,+120%
lcs standings,+80%
classement lcs,+60%
ogn,+50%



