Web Search interest: lcs
Worldwide Mar-Apr 2014

Interest over time
Day,lcs
2014-03-01,87
2014-03-02,95
2014-03-03,47
2014-03-04,73
2014-03-05,80
2014-03-06,87
2014-03-07,78
2014-03-08,95
2014-03-09,97
2014-03-10,48
2014-03-11,29
2014-03-12,35
2014-03-13,34
2014-03-14,40
2014-03-15,42
2014-03-16,37
2014-03-17,24
2014-03-18,20
2014-03-19,24
2014-03-20,55
2014-03-21,63
2014-03-22,72
2014-03-23,68
2014-03-24,37
2014-03-25,28
2014-03-26,25
2014-03-27,57
2014-03-28,79
2014-03-29,81
2014-03-30,82
2014-03-31,45
2014-04-01,71
2014-04-02,69
2014-04-03,68
2014-04-04,64
2014-04-05,79
2014-04-06,90
2014-04-07,45
2014-04-08,30
2014-04-09,28
2014-04-10,35
2014-04-11,32
2014-04-12,38
2014-04-13,36
2014-04-14,28
2014-04-15,62
2014-04-16,78
2014-04-17,91
2014-04-18,68
2014-04-19,79
2014-04-20,100
2014-04-21,57
2014-04-22,26
2014-04-23,24
2014-04-24,35
2014-04-25,40
2014-04-26,42
2014-04-27,44
2014-04-28,35
2014-04-29,20
2014-04-30,19


Top regions for lcs
Region,lcs
Poland,100
Sweden,94
France,66
Canada,61
Germany,50
Spain,47
Netherlands,44
United States,29
United Kingdom,25
Brazil,15


Top cities for lcs
Town/City,lcs
Caen (France),100
Cracow (Poland),12
Zagreb (Croatia),10
Athens (Greece),8
Toronto (Canada),6
Warsaw (Poland),6
Stockholm (Sweden),5
Paris (France),4
Madrid (Spain),4
Sydney (Australia),3
Melbourne (Australia),3
New York (United States),2
London (United Kingdom),2



Top searches for lcs
lcs 2014,100
lcs lol,100
na lcs,85
lcs eu,80
league lcs,50
youtube lcs,25
twitch lcs,20
lcs schedule,20
lcs 2014 eu,20
lcs standings,15
lcs na 2014,15
lcs spring,15
lol lcs 2014,15
gta lcs,15
tsm,15
lcs season 4,15
lcs stream,10
lol eu lcs,10
lol na lcs,10
lcs 2,10
lcs spring 2014,10
lcs live,10
lcs esports,10
fnatic,10
lcs na standings,5
lcs all star,5
lcs europe,5
lcs playoffs,5
lcs 2013,5
bjergsen,5
riot lcs,5
leaguepedia,5
lcs eu standings,5
lcs wiki,5
euw lcs,5
leaguepedia lcs,5
lcs online,5
clg,5
classement lcs,5
lcs music,5
azubu lcs,5
lol esports,5



Rising searches for lcs
lcs all star,Breakout
lcs playoffs,Breakout
bjergsen,+180%
lcs eu standings,+150%
classement lcs,+140%
lcs na standings,+100%
lcs standings,+90%
ogn,+40%



