Web Search interest: lcs
Worldwide Sep-Oct 2015

Interest over time
Day,lcs
2015-09-01,50
2015-09-02,34
2015-09-03,30
2015-09-04,35
2015-09-05,46
2015-09-06,47
2015-09-07,33
2015-09-08,24
2015-09-09,22
2015-09-10,25
2015-09-11,23
2015-09-12,36
2015-09-13,28
2015-09-14,24
2015-09-15,28
2015-09-16,24
2015-09-17,20
2015-09-18,21
2015-09-19,23
2015-09-20,20
2015-09-21,20
2015-09-22,20
2015-09-23,19
2015-09-24,19
2015-09-25,19
2015-09-26,19
2015-09-27,21
2015-09-28,22
2015-09-29,24
2015-09-30,32
2015-10-01,100
2015-10-02,90
2015-10-03,89
2015-10-04,88
2015-10-05,40
2015-10-06,28
2015-10-07,29
2015-10-08,63
2015-10-09,59
2015-10-10,73
2015-10-11,82
2015-10-12,34
2015-10-13,23
2015-10-14,24
2015-10-15,54
2015-10-16,52
2015-10-17,61
2015-10-18,51
2015-10-19,27
2015-10-20,21
2015-10-21,22
2015-10-22,21
2015-10-23,22
2015-10-24,61
2015-10-25,55
2015-10-26,22
2015-10-27,18
2015-10-28,17
2015-10-29,18
2015-10-30,21
2015-10-31,68


Top regions for lcs
Region,lcs
France,100
Canada,94
Spain,89
Poland,80
Germany,62
United States,48
United Kingdom,37


Top cities for lcs
Town/City,lcs
Caen (France),100
Toronto (Canada),6
Madrid (Spain),5
Paris (France),4
Warsaw (Poland),4
New York (United States),2
London (United Kingdom),2



Top searches for lcs
lol lcs,100
lcs 2015,95
worlds lcs,60
na lcs,35
lcs schedule,30
worlds lcs 2015,30
lcs world,25
eu lcs,25
lol lcs 2015,25
lcs youtube,15
lcs twitch,15
lcs championship,15
lcs world 2015,15
gta lcs,15
lcs esports,10
lcs live,10
lcs worlds schedule,10
lcs standings,10
lcs teams,10
fnatic,10
lcs finals,10
lcs schedule 2015,5
lcs eu 2015,5
lol lcs eu,5
lcs stream,5
lol lcs schedule,5
fantasy lcs,5



Rising searches for lcs
lcs worlds schedule,Breakout
worlds lcs 2015,+600%
worlds lcs,+550%
lcs world 2015,+300%
lcs world,+200%
lol lcs 2015,+90%
lcs r900,+80%
lcs championship,+70%
lcs schedule 2015,+70%
lcs teams,+60%



