Web Search interest: lcs
Worldwide Jan 2009 - Oct 2015

Interest over time
Week,lcs
2009-01-04 - 2009-01-10,12
2009-01-11 - 2009-01-17,11
2009-01-18 - 2009-01-24,11
2009-01-25 - 2009-01-31,11
2009-02-01 - 2009-02-07,11
2009-02-08 - 2009-02-14,10
2009-02-15 - 2009-02-21,11
2009-02-22 - 2009-02-28,12
2009-03-01 - 2009-03-07,10
2009-03-08 - 2009-03-14,11
2009-03-15 - 2009-03-21,10
2009-03-22 - 2009-03-28,11
2009-03-29 - 2009-04-04,10
2009-04-05 - 2009-04-11,11
2009-04-12 - 2009-04-18,10
2009-04-19 - 2009-04-25,11
2009-04-26 - 2009-05-02,10
2009-05-03 - 2009-05-09,12
2009-05-10 - 2009-05-16,10
2009-05-17 - 2009-05-23,10
2009-05-24 - 2009-05-30,10
2009-05-31 - 2009-06-06,11
2009-06-07 - 2009-06-13,10
2009-06-14 - 2009-06-20,11
2009-06-21 - 2009-06-27,10
2009-06-28 - 2009-07-04,10
2009-07-05 - 2009-07-11,10
2009-07-12 - 2009-07-18,10
2009-07-19 - 2009-07-25,10
2009-07-26 - 2009-08-01,10
2009-08-02 - 2009-08-08,9
2009-08-09 - 2009-08-15,10
2009-08-16 - 2009-08-22,9
2009-08-23 - 2009-08-29,10
2009-08-30 - 2009-09-05,11
2009-09-06 - 2009-09-12,9
2009-09-13 - 2009-09-19,10
2009-09-20 - 2009-09-26,11
2009-09-27 - 2009-10-03,10
2009-10-04 - 2009-10-10,11
2009-10-11 - 2009-10-17,11
2009-10-18 - 2009-10-24,13
2009-10-25 - 2009-10-31,9
2009-11-01 - 2009-11-07,10
2009-11-08 - 2009-11-14,11
2009-11-15 - 2009-11-21,11
2009-11-22 - 2009-11-28,11
2009-11-29 - 2009-12-05,10
2009-12-06 - 2009-12-12,10
2009-12-13 - 2009-12-19,11
2009-12-20 - 2009-12-26,10
2009-12-27 - 2010-01-02,10
2010-01-03 - 2010-01-09,13
2010-01-10 - 2010-01-16,14
2010-01-17 - 2010-01-23,12
2010-01-24 - 2010-01-30,11
2010-01-31 - 2010-02-06,11
2010-02-07 - 2010-02-13,11
2010-02-14 - 2010-02-20,10
2010-02-21 - 2010-02-27,9
2010-02-28 - 2010-03-06,11
2010-03-07 - 2010-03-13,10
2010-03-14 - 2010-03-20,10
2010-03-21 - 2010-03-27,11
2010-03-28 - 2010-04-03,12
2010-04-04 - 2010-04-10,10
2010-04-11 - 2010-04-17,9
2010-04-18 - 2010-04-24,9
2010-04-25 - 2010-05-01,10
2010-05-02 - 2010-05-08,9
2010-05-09 - 2010-05-15,9
2010-05-16 - 2010-05-22,10
2010-05-23 - 2010-05-29,11
2010-05-30 - 2010-06-05,10
2010-06-06 - 2010-06-12,11
2010-06-13 - 2010-06-19,10
2010-06-20 - 2010-06-26,10
2010-06-27 - 2010-07-03,8
2010-07-04 - 2010-07-10,8
2010-07-11 - 2010-07-17,8
2010-07-18 - 2010-07-24,8
2010-07-25 - 2010-07-31,8
2010-08-01 - 2010-08-07,9
2010-08-08 - 2010-08-14,8
2010-08-15 - 2010-08-21,8
2010-08-22 - 2010-08-28,8
2010-08-29 - 2010-09-04,10
2010-09-05 - 2010-09-11,8
2010-09-12 - 2010-09-18,8
2010-09-19 - 2010-09-25,9
2010-09-26 - 2010-10-02,10
2010-10-03 - 2010-10-09,10
2010-10-10 - 2010-10-16,11
2010-10-17 - 2010-10-23,13
2010-10-24 - 2010-10-30,9
2010-10-31 - 2010-11-06,11
2010-11-07 - 2010-11-13,10
2010-11-14 - 2010-11-20,11
2010-11-21 - 2010-11-27,11
2010-11-28 - 2010-12-04,11
2010-12-05 - 2010-12-11,11
2010-12-12 - 2010-12-18,11
2010-12-19 - 2010-12-25,9
2010-12-26 - 2011-01-01,9
2011-01-02 - 2011-01-08,10
2011-01-09 - 2011-01-15,11
2011-01-16 - 2011-01-22,10
2011-01-23 - 2011-01-29,10
2011-01-30 - 2011-02-05,10
2011-02-06 - 2011-02-12,10
2011-02-13 - 2011-02-19,9
2011-02-20 - 2011-02-26,10
2011-02-27 - 2011-03-05,8
2011-03-06 - 2011-03-12,7
2011-03-13 - 2011-03-19,10
2011-03-20 - 2011-03-26,10
2011-03-27 - 2011-04-02,9
2011-04-03 - 2011-04-09,10
2011-04-10 - 2011-04-16,9
2011-04-17 - 2011-04-23,9
2011-04-24 - 2011-04-30,8
2011-05-01 - 2011-05-07,8
2011-05-08 - 2011-05-14,10
2011-05-15 - 2011-05-21,9
2011-05-22 - 2011-05-28,9
2011-05-29 - 2011-06-04,9
2011-06-05 - 2011-06-11,10
2011-06-12 - 2011-06-18,8
2011-06-19 - 2011-06-25,9
2011-06-26 - 2011-07-02,7
2011-07-03 - 2011-07-09,7
2011-07-10 - 2011-07-16,7
2011-07-17 - 2011-07-23,8
2011-07-24 - 2011-07-30,8
2011-07-31 - 2011-08-06,7
2011-08-07 - 2011-08-13,7
2011-08-14 - 2011-08-20,7
2011-08-21 - 2011-08-27,7
2011-08-28 - 2011-09-03,10
2011-09-04 - 2011-09-10,9
2011-09-11 - 2011-09-17,9
2011-09-18 - 2011-09-24,9
2011-09-25 - 2011-10-01,10
2011-10-02 - 2011-10-08,10
2011-10-09 - 2011-10-15,11
2011-10-16 - 2011-10-22,11
2011-10-23 - 2011-10-29,9
2011-10-30 - 2011-11-05,9
2011-11-06 - 2011-11-12,10
2011-11-13 - 2011-11-19,9
2011-11-20 - 2011-11-26,10
2011-11-27 - 2011-12-03,10
2011-12-04 - 2011-12-10,10
2011-12-11 - 2011-12-17,9
2011-12-18 - 2011-12-24,8
2011-12-25 - 2011-12-31,7
2012-01-01 - 2012-01-07,9
2012-01-08 - 2012-01-14,8
2012-01-15 - 2012-01-21,9
2012-01-22 - 2012-01-28,9
2012-01-29 - 2012-02-04,9
2012-02-05 - 2012-02-11,10
2012-02-12 - 2012-02-18,8
2012-02-19 - 2012-02-25,8
2012-02-26 - 2012-03-03,9
2012-03-04 - 2012-03-10,9
2012-03-11 - 2012-03-17,9
2012-03-18 - 2012-03-24,9
2012-03-25 - 2012-03-31,9
2012-04-01 - 2012-04-07,9
2012-04-08 - 2012-04-14,8
2012-04-15 - 2012-04-21,8
2012-04-22 - 2012-04-28,8
2012-04-29 - 2012-05-05,9
2012-05-06 - 2012-05-12,9
2012-05-13 - 2012-05-19,8
2012-05-20 - 2012-05-26,9
2012-05-27 - 2012-06-02,9
2012-06-03 - 2012-06-09,9
2012-06-10 - 2012-06-16,8
2012-06-17 - 2012-06-23,7
2012-06-24 - 2012-06-30,8
2012-07-01 - 2012-07-07,7
2012-07-08 - 2012-07-14,7
2012-07-15 - 2012-07-21,6
2012-07-22 - 2012-07-28,6
2012-07-29 - 2012-08-04,6
2012-08-05 - 2012-08-11,6
2012-08-12 - 2012-08-18,6
2012-08-19 - 2012-08-25,7
2012-08-26 - 2012-09-01,8
2012-09-02 - 2012-09-08,9
2012-09-09 - 2012-09-15,7
2012-09-16 - 2012-09-22,8
2012-09-23 - 2012-09-29,9
2012-09-30 - 2012-10-06,9
2012-10-07 - 2012-10-13,8
2012-10-14 - 2012-10-20,9
2012-10-21 - 2012-10-27,9
2012-10-28 - 2012-11-03,6
2012-11-04 - 2012-11-10,7
2012-11-11 - 2012-11-17,8
2012-11-18 - 2012-11-24,8
2012-11-25 - 2012-12-01,9
2012-12-02 - 2012-12-08,8
2012-12-09 - 2012-12-15,9
2012-12-16 - 2012-12-22,8
2012-12-23 - 2012-12-29,6
2012-12-30 - 2013-01-05,6
2013-01-06 - 2013-01-12,9
2013-01-13 - 2013-01-19,10
2013-01-20 - 2013-01-26,11
2013-01-27 - 2013-02-02,10
2013-02-03 - 2013-02-09,23
2013-02-10 - 2013-02-16,27
2013-02-17 - 2013-02-23,23
2013-02-24 - 2013-03-02,33
2013-03-03 - 2013-03-09,20
2013-03-10 - 2013-03-16,18
2013-03-17 - 2013-03-23,28
2013-03-24 - 2013-03-30,31
2013-03-31 - 2013-04-06,42
2013-04-07 - 2013-04-13,37
2013-04-14 - 2013-04-20,53
2013-04-21 - 2013-04-27,43
2013-04-28 - 2013-05-04,39
2013-05-05 - 2013-05-11,26
2013-05-12 - 2013-05-18,20
2013-05-19 - 2013-05-25,24
2013-05-26 - 2013-06-01,16
2013-06-02 - 2013-06-08,13
2013-06-09 - 2013-06-15,41
2013-06-16 - 2013-06-22,46
2013-06-23 - 2013-06-29,35
2013-06-30 - 2013-07-06,42
2013-07-07 - 2013-07-13,44
2013-07-14 - 2013-07-20,48
2013-07-21 - 2013-07-27,38
2013-07-28 - 2013-08-03,46
2013-08-04 - 2013-08-10,33
2013-08-11 - 2013-08-17,65
2013-08-18 - 2013-08-24,39
2013-08-25 - 2013-08-31,37
2013-09-01 - 2013-09-07,30
2013-09-08 - 2013-09-14,17
2013-09-15 - 2013-09-21,50
2013-09-22 - 2013-09-28,46
2013-09-29 - 2013-10-05,25
2013-10-06 - 2013-10-12,13
2013-10-13 - 2013-10-19,12
2013-10-20 - 2013-10-26,10
2013-10-27 - 2013-11-02,10
2013-11-03 - 2013-11-09,11
2013-11-10 - 2013-11-16,10
2013-11-17 - 2013-11-23,12
2013-11-24 - 2013-11-30,10
2013-12-01 - 2013-12-07,14
2013-12-08 - 2013-12-14,18
2013-12-15 - 2013-12-21,23
2013-12-22 - 2013-12-28,16
2013-12-29 - 2014-01-04,12
2014-01-05 - 2014-01-11,18
2014-01-12 - 2014-01-18,100
2014-01-19 - 2014-01-25,70
2014-01-26 - 2014-02-01,66
2014-02-02 - 2014-02-08,61
2014-02-09 - 2014-02-15,60
2014-02-16 - 2014-02-22,61
2014-02-23 - 2014-03-01,58
2014-03-02 - 2014-03-08,74
2014-03-09 - 2014-03-15,44
2014-03-16 - 2014-03-22,41
2014-03-23 - 2014-03-29,50
2014-03-30 - 2014-04-05,63
2014-04-06 - 2014-04-12,40
2014-04-13 - 2014-04-19,59
2014-04-20 - 2014-04-26,43
2014-04-27 - 2014-05-03,26
2014-05-04 - 2014-05-10,33
2014-05-11 - 2014-05-17,32
2014-05-18 - 2014-05-24,90
2014-05-25 - 2014-05-31,63
2014-06-01 - 2014-06-07,56
2014-06-08 - 2014-06-14,49
2014-06-15 - 2014-06-21,53
2014-06-22 - 2014-06-28,40
2014-06-29 - 2014-07-05,53
2014-07-06 - 2014-07-12,47
2014-07-13 - 2014-07-19,45
2014-07-20 - 2014-07-26,47
2014-07-27 - 2014-08-02,64
2014-08-03 - 2014-08-09,49
2014-08-10 - 2014-08-16,38
2014-08-17 - 2014-08-23,41
2014-08-24 - 2014-08-30,48
2014-08-31 - 2014-09-06,47
2014-09-07 - 2014-09-13,34
2014-09-14 - 2014-09-20,46
2014-09-21 - 2014-09-27,51
2014-09-28 - 2014-10-04,42
2014-10-05 - 2014-10-11,33
2014-10-12 - 2014-10-18,26
2014-10-19 - 2014-10-25,22
2014-10-26 - 2014-11-01,11
2014-11-02 - 2014-11-08,11
2014-11-09 - 2014-11-15,12
2014-11-16 - 2014-11-22,14
2014-11-23 - 2014-11-29,14
2014-11-30 - 2014-12-06,13
2014-12-07 - 2014-12-13,15
2014-12-14 - 2014-12-20,17
2014-12-21 - 2014-12-27,13
2014-12-28 - 2015-01-03,13
2015-01-04 - 2015-01-10,17
2015-01-11 - 2015-01-17,33
2015-01-18 - 2015-01-24,80
2015-01-25 - 2015-01-31,85
2015-02-01 - 2015-02-07,71
2015-02-08 - 2015-02-14,64
2015-02-15 - 2015-02-21,68
2015-02-22 - 2015-02-28,63
2015-03-01 - 2015-03-07,62
2015-03-08 - 2015-03-14,46
2015-03-15 - 2015-03-21,45
2015-03-22 - 2015-03-28,58
2015-03-29 - 2015-04-04,47
2015-04-05 - 2015-04-11,44
2015-04-12 - 2015-04-18,49
2015-04-19 - 2015-04-25,48
2015-04-26 - 2015-05-02,25
2015-05-03 - 2015-05-09,29
2015-05-10 - 2015-05-16,24
2015-05-17 - 2015-05-23,23
2015-05-24 - 2015-05-30,51
2015-05-31 - 2015-06-06,59
2015-06-07 - 2015-06-13,56
2015-06-14 - 2015-06-20,52
2015-06-21 - 2015-06-27,50
2015-06-28 - 2015-07-04,53
2015-07-05 - 2015-07-11,54
2015-07-12 - 2015-07-18,56
2015-07-19 - 2015-07-25,58
2015-07-26 - 2015-08-01,44
2015-08-02 - 2015-08-08,32
2015-08-09 - 2015-08-15,54
2015-08-16 - 2015-08-22,55
2015-08-23 - 2015-08-29,61
2015-08-30 - 2015-09-05,40
2015-09-06 - 2015-09-12,22
2015-09-13 - 2015-09-19,17
