Web Search interest: league of legends
Worldwide Jul-Aug 2009

Interest over time
Day,league of legends
2009-07-01,0
2009-07-02,0
2009-07-03,0
2009-07-04,0
2009-07-05,0
2009-07-06,0
2009-07-07,0
2009-07-08,0
2009-07-09,0
2009-07-10,0
2009-07-11,0
2009-07-12,0
2009-07-13,0
2009-07-14,0
2009-07-15,41
2009-07-16,45
2009-07-17,40
2009-07-18,52
2009-07-19,58
2009-07-20,35
2009-07-21,36
2009-07-22,37
2009-07-23,38
2009-07-24,59
2009-07-25,69
2009-07-26,69
2009-07-27,45
2009-07-28,56
2009-07-29,45
2009-07-30,46
2009-07-31,52
2009-08-01,59
2009-08-02,38
2009-08-03,38
2009-08-04,47
2009-08-05,47
2009-08-06,46
2009-08-07,43
2009-08-08,62
2009-08-09,52
2009-08-10,45
2009-08-11,38
2009-08-12,32
2009-08-13,36
2009-08-14,41
2009-08-15,47
2009-08-16,66
2009-08-17,40
2009-08-18,46
2009-08-19,37
2009-08-20,46
2009-08-21,46
2009-08-22,63
2009-08-23,81
2009-08-24,57
2009-08-25,100
2009-08-26,79
2009-08-27,72
2009-08-28,67
2009-08-29,61
2009-08-30,79
2009-08-31,61



Top searches for league of legends
heroes of newerth,100



Rising searches for league of legends
heroes of newerth,Breakout



