Web Search interest: league of legends
Worldwide Jan-Feb 2010

Interest over time
Day,league of legends
2010-01-01,64
2010-01-02,64
2010-01-03,61
2010-01-04,56
2010-01-05,52
2010-01-06,53
2010-01-07,51
2010-01-08,56
2010-01-09,60
2010-01-10,72
2010-01-11,51
2010-01-12,49
2010-01-13,59
2010-01-14,63
2010-01-15,68
2010-01-16,74
2010-01-17,76
2010-01-18,63
2010-01-19,52
2010-01-20,58
2010-01-21,62
2010-01-22,66
2010-01-23,77
2010-01-24,80
2010-01-25,59
2010-01-26,58
2010-01-27,60
2010-01-28,56
2010-01-29,56
2010-01-30,74
2010-01-31,79
2010-02-01,63
2010-02-02,63
2010-02-03,58
2010-02-04,68
2010-02-05,67
2010-02-06,98
2010-02-07,91
2010-02-08,70
2010-02-09,63
2010-02-10,64
2010-02-11,59
2010-02-12,73
2010-02-13,80
2010-02-14,88
2010-02-15,80
2010-02-16,62
2010-02-17,62
2010-02-18,66
2010-02-19,74
2010-02-20,84
2010-02-21,100
2010-02-22,68
2010-02-23,58
2010-02-24,71
2010-02-25,69
2010-02-26,72
2010-02-27,91
2010-02-28,87


Top regions for league of legends
Region,league of legends
Germany,100
United States,64
France,60


Top cities for league of legends
Town/City,league of legends
Toronto (Canada),100
Frankfurt (Germany),71
Warsaw (Poland),58
Paris (France),54
Madrid (Spain),44



Top searches for league of legends
lol,100
heroes of newerth,25
league of legend,20






