Web Search interest: lol team
Worldwide Mar-Apr 2014

Interest over time
Day,lol team
2014-03-01,81
2014-03-02,67
2014-03-03,71
2014-03-04,75
2014-03-05,64
2014-03-06,88
2014-03-07,87
2014-03-08,100
2014-03-09,80
2014-03-10,72
2014-03-11,75
2014-03-12,64
2014-03-13,50
2014-03-14,78
2014-03-15,71
2014-03-16,68
2014-03-17,37
2014-03-18,33
2014-03-19,36
2014-03-20,37
2014-03-21,43
2014-03-22,54
2014-03-23,49
2014-03-24,35
2014-03-25,33
2014-03-26,88
2014-03-27,62
2014-03-28,49
2014-03-29,66
2014-03-30,74
2014-03-31,49
2014-04-01,36
2014-04-02,41
2014-04-03,45
2014-04-04,44
2014-04-05,46
2014-04-06,62
2014-04-07,45
2014-04-08,34
2014-04-09,41
2014-04-10,39
2014-04-11,53
2014-04-12,53
2014-04-13,43
2014-04-14,44
2014-04-15,42
2014-04-16,45
2014-04-17,44
2014-04-18,54
2014-04-19,50
2014-04-20,58
2014-04-21,53
2014-04-22,39
2014-04-23,43
2014-04-24,58
2014-04-25,50
2014-04-26,69
2014-04-27,58
2014-04-28,46
2014-04-29,40
2014-04-30,54


Top regions for lol team
Region,lol team
United States,100





Top searches for lol team
team builder,100
lol team builder,95



Rising searches for lol team
team builder,+300%
lol team builder,+250%



