Web Search interest: lol team
Worldwide Mar-Apr 2013

Interest over time
Day,lol team
2013-03-01,50
2013-03-02,58
2013-03-03,65
2013-03-04,33
2013-03-05,47
2013-03-06,45
2013-03-07,57
2013-03-08,47
2013-03-09,56
2013-03-10,53
2013-03-11,47
2013-03-12,35
2013-03-13,39
2013-03-14,40
2013-03-15,37
2013-03-16,67
2013-03-17,61
2013-03-18,42
2013-03-19,38
2013-03-20,31
2013-03-21,41
2013-03-22,51
2013-03-23,92
2013-03-24,71
2013-03-25,53
2013-03-26,45
2013-03-27,47
2013-03-28,55
2013-03-29,50
2013-03-30,73
2013-03-31,73
2013-04-01,63
2013-04-02,65
2013-04-03,74
2013-04-04,68
2013-04-05,68
2013-04-06,79
2013-04-07,78
2013-04-08,47
2013-04-09,56
2013-04-10,50
2013-04-11,86
2013-04-12,74
2013-04-13,81
2013-04-14,76
2013-04-15,57
2013-04-16,54
2013-04-17,64
2013-04-18,73
2013-04-19,77
2013-04-20,100
2013-04-21,81
2013-04-22,75
2013-04-23,62
2013-04-24,55
2013-04-25,62
2013-04-26,80
2013-04-27,82
2013-04-28,89
2013-04-29,75
2013-04-30,57









