Web Search interest: lol team
Worldwide Sep-Oct 2013

Interest over time
Day,lol team
2013-09-01,52
2013-09-02,49
2013-09-03,32
2013-09-04,31
2013-09-05,32
2013-09-06,33
2013-09-07,38
2013-09-08,54
2013-09-09,32
2013-09-10,29
2013-09-11,31
2013-09-12,30
2013-09-13,75
2013-09-14,75
2013-09-15,100
2013-09-16,65
2013-09-17,51
2013-09-18,46
2013-09-19,36
2013-09-20,40
2013-09-21,67
2013-09-22,60
2013-09-23,49
2013-09-24,35
2013-09-25,43
2013-09-26,32
2013-09-27,32
2013-09-28,50
2013-09-29,45
2013-09-30,29
2013-10-01,23
2013-10-02,27
2013-10-03,35
2013-10-04,28
2013-10-05,56
2013-10-06,46
2013-10-07,39
2013-10-08,42
2013-10-09,38
2013-10-10,33
2013-10-11,39
2013-10-12,44
2013-10-13,41
2013-10-14,44
2013-10-15,37
2013-10-16,39
2013-10-17,38
2013-10-18,40
2013-10-19,56
2013-10-20,45
2013-10-21,37
2013-10-22,32
2013-10-23,29
2013-10-24,30
2013-10-25,36
2013-10-26,47
2013-10-27,47
2013-10-28,32
2013-10-29,29
2013-10-30,31
2013-10-31,30


Top regions for lol team
Region,lol team
United States,100





Top searches for lol team
lol ranked team,100
lol team curse,60
team curse,55
lol team builder,45
fnatic lol team,40
omg lol team,40



Rising searches for lol team
omg lol team,Breakout
lol team curse,+40%



