Web Search interest: lol top
Worldwide Jan-Feb 2014

Interest over time
Day,lol top
2014-01-01,78
2014-01-02,68
2014-01-03,81
2014-01-04,84
2014-01-05,83
2014-01-06,71
2014-01-07,58
2014-01-08,52
2014-01-09,63
2014-01-10,71
2014-01-11,87
2014-01-12,75
2014-01-13,69
2014-01-14,61
2014-01-15,69
2014-01-16,62
2014-01-17,76
2014-01-18,100
2014-01-19,95
2014-01-20,69
2014-01-21,73
2014-01-22,70
2014-01-23,65
2014-01-24,61
2014-01-25,87
2014-01-26,82
2014-01-27,68
2014-01-28,73
2014-01-29,74
2014-01-30,68
2014-01-31,79
2014-02-01,83
2014-02-02,74
2014-02-03,64
2014-02-04,69
2014-02-05,74
2014-02-06,67
2014-02-07,71
2014-02-08,83
2014-02-09,92
2014-02-10,47
2014-02-11,63
2014-02-12,64
2014-02-13,63
2014-02-14,66
2014-02-15,81
2014-02-16,94
2014-02-17,75
2014-02-18,71
2014-02-19,58
2014-02-20,60
2014-02-21,68
2014-02-22,83
2014-02-23,74
2014-02-24,67
2014-02-25,59
2014-02-26,70
2014-02-27,58
2014-02-28,68


Top regions for lol top
Region,lol top
United States,100





Top searches for lol top
lol top lane,100
top lol champions,95
lol counter,85
top tier lol,65






