Web Search interest: lol top
Worldwide Nov-Dec 2014

Interest over time
Day,lol top
2014-11-01,90
2014-11-02,86
2014-11-03,59
2014-11-04,48
2014-11-05,52
2014-11-06,65
2014-11-07,76
2014-11-08,83
2014-11-09,100
2014-11-10,66
2014-11-11,76
2014-11-12,66
2014-11-13,50
2014-11-14,72
2014-11-15,88
2014-11-16,90
2014-11-17,67
2014-11-18,69
2014-11-19,64
2014-11-20,43
2014-11-21,64
2014-11-22,79
2014-11-23,89
2014-11-24,66
2014-11-25,68
2014-11-26,61
2014-11-27,63
2014-11-28,65
2014-11-29,91
2014-11-30,77
2014-12-01,63
2014-12-02,68
2014-12-03,59
2014-12-04,54
2014-12-05,60
2014-12-06,84
2014-12-07,80
2014-12-08,62
2014-12-09,66
2014-12-10,63
2014-12-11,61
2014-12-12,69
2014-12-13,79
2014-12-14,84
2014-12-15,58
2014-12-16,58
2014-12-17,63
2014-12-18,65
2014-12-19,70
2014-12-20,84
2014-12-21,89
2014-12-22,74
2014-12-23,76
2014-12-24,67
2014-12-25,75
2014-12-26,79
2014-12-27,80
2014-12-28,83
2014-12-29,74
2014-12-30,68
2014-12-31,67


Top regions for lol top
Region,lol top
United States,100





Top searches for lol top
lol top lane,100
lol top champions,95
top tier lol,65
lol counter,65






