Web Search interest: lol top
Worldwide May-Jun 2015

Interest over time
Day,lol top
2015-05-01,87
2015-05-02,80
2015-05-03,78
2015-05-04,60
2015-05-05,68
2015-05-06,54
2015-05-07,61
2015-05-08,77
2015-05-09,93
2015-05-10,90
2015-05-11,74
2015-05-12,61
2015-05-13,68
2015-05-14,68
2015-05-15,72
2015-05-16,80
2015-05-17,91
2015-05-18,64
2015-05-19,62
2015-05-20,62
2015-05-21,74
2015-05-22,66
2015-05-23,86
2015-05-24,76
2015-05-25,73
2015-05-26,54
2015-05-27,53
2015-05-28,67
2015-05-29,64
2015-05-30,88
2015-05-31,89
2015-06-01,52
2015-06-02,67
2015-06-03,60
2015-06-04,61
2015-06-05,71
2015-06-06,79
2015-06-07,81
2015-06-08,71
2015-06-09,66
2015-06-10,58
2015-06-11,65
2015-06-12,74
2015-06-13,87
2015-06-14,84
2015-06-15,61
2015-06-16,66
2015-06-17,62
2015-06-18,64
2015-06-19,82
2015-06-20,73
2015-06-21,83
2015-06-22,77
2015-06-23,76
2015-06-24,82
2015-06-25,66
2015-06-26,74
2015-06-27,76
2015-06-28,100
2015-06-29,73
2015-06-30,82




Top cities for lol top
City,lol top
Hanoi (Vietnam),100



Top searches for lol top
top tier lol,100
top tier,95
lol counter,80
lol top champions,80
lol tier list,20
ekko lol,20






