Web Search interest: lol top
Worldwide Sep-Oct 2015

Interest over time
Day,lol top
2015-09-01,39
2015-09-02,39
2015-09-03,44
2015-09-04,44
2015-09-05,59
2015-09-06,59
2015-09-07,43
2015-09-08,35
2015-09-09,35
2015-09-10,44
2015-09-11,34
2015-09-12,51
2015-09-13,53
2015-09-14,41
2015-09-15,40
2015-09-16,43
2015-09-17,38
2015-09-18,41
2015-09-19,53
2015-09-20,54
2015-09-21,38
2015-09-22,44
2015-09-23,40
2015-09-24,57
2015-09-25,54
2015-09-26,65
2015-09-27,78
2015-09-28,56
2015-09-29,75
2015-09-30,100
2015-10-01,83
2015-10-02,62
2015-10-03,85
2015-10-04,67
2015-10-05,45
2015-10-06,48
2015-10-07,43
2015-10-08,47
2015-10-09,53
2015-10-10,63
2015-10-11,59
2015-10-12,54
2015-10-13,47
2015-10-14,46
2015-10-15,40
2015-10-16,45
2015-10-17,63
2015-10-18,56
2015-10-19,40
2015-10-20,38
2015-10-21,44
2015-10-22,41
2015-10-23,43
2015-10-24,64
2015-10-25,50
2015-10-26,45
2015-10-27,46
2015-10-28,40
2015-10-29,45
2015-10-30,44
2015-10-31,62


Top regions for lol top
Region,lol top
United States,100


Top cities for lol top
City,lol top
Hanoi (Vietnam),100



Top searches for lol top
top 20 lol,100
lol top tier,70
lol top champions,60
lol champions,60
top lol players,60
lol top lane,60
lol counter,50



Rising searches for lol top
top 20 lol,+750%
top lol players,+250%



