Web Search interest: lol top
Worldwide Mar-Apr 2013

Interest over time
Day,lol top
2013-03-01,62
2013-03-02,79
2013-03-03,95
2013-03-04,69
2013-03-05,58
2013-03-06,65
2013-03-07,59
2013-03-08,53
2013-03-09,78
2013-03-10,81
2013-03-11,57
2013-03-12,60
2013-03-13,64
2013-03-14,57
2013-03-15,51
2013-03-16,72
2013-03-17,81
2013-03-18,66
2013-03-19,62
2013-03-20,63
2013-03-21,62
2013-03-22,64
2013-03-23,90
2013-03-24,78
2013-03-25,69
2013-03-26,65
2013-03-27,51
2013-03-28,70
2013-03-29,71
2013-03-30,79
2013-03-31,92
2013-04-01,67
2013-04-02,72
2013-04-03,69
2013-04-04,68
2013-04-05,67
2013-04-06,94
2013-04-07,100
2013-04-08,67
2013-04-09,61
2013-04-10,68
2013-04-11,63
2013-04-12,77
2013-04-13,70
2013-04-14,78
2013-04-15,58
2013-04-16,56
2013-04-17,63
2013-04-18,60
2013-04-19,66
2013-04-20,75
2013-04-21,81
2013-04-22,67
2013-04-23,64
2013-04-24,69
2013-04-25,72
2013-04-26,75
2013-04-27,73
2013-04-28,72
2013-04-29,66
2013-04-30,81


Top regions for lol top
Region,lol top
United States,100





Top searches for lol top
lol solo top,100
lol top champions,65
lol counter,40
lol top 5,35
lol pro,35






