Web Search interest: lol top
Worldwide May-Jun 2013

Interest over time
Day,lol top
2013-05-01,67
2013-05-02,56
2013-05-03,67
2013-05-04,75
2013-05-05,74
2013-05-06,52
2013-05-07,45
2013-05-08,57
2013-05-09,52
2013-05-10,70
2013-05-11,87
2013-05-12,85
2013-05-13,56
2013-05-14,46
2013-05-15,57
2013-05-16,59
2013-05-17,62
2013-05-18,69
2013-05-19,73
2013-05-20,65
2013-05-21,63
2013-05-22,46
2013-05-23,62
2013-05-24,56
2013-05-25,96
2013-05-26,80
2013-05-27,55
2013-05-28,72
2013-05-29,64
2013-05-30,56
2013-05-31,62
2013-06-01,82
2013-06-02,75
2013-06-03,68
2013-06-04,68
2013-06-05,63
2013-06-06,79
2013-06-07,62
2013-06-08,90
2013-06-09,76
2013-06-10,56
2013-06-11,67
2013-06-12,67
2013-06-13,56
2013-06-14,65
2013-06-15,81
2013-06-16,92
2013-06-17,75
2013-06-18,81
2013-06-19,73
2013-06-20,62
2013-06-21,57
2013-06-22,91
2013-06-23,100
2013-06-24,66
2013-06-25,66
2013-06-26,76
2013-06-27,55
2013-06-28,62
2013-06-29,89
2013-06-30,80


Top regions for lol top
Region,lol top
United States,100





Top searches for lol top
lol top champions,100
lol top lane,85
lol counter,65
lol top 5,55






