Web Search interest: lol top
Worldwide Sep-Oct 2015

Interest over time
Day,lol top
2015-09-01,39
2015-09-02,40
2015-09-03,38
2015-09-04,41
2015-09-05,60
2015-09-06,46
2015-09-07,41
2015-09-08,32
2015-09-09,43
2015-09-10,40
2015-09-11,39
2015-09-12,52
2015-09-13,58
2015-09-14,38
2015-09-15,39
2015-09-16,41
2015-09-17,38
2015-09-18,43
2015-09-19,48
2015-09-20,60
2015-09-21,41
2015-09-22,46
2015-09-23,41
2015-09-24,53
2015-09-25,64
2015-09-26,66
2015-09-27,77
2015-09-28,55
2015-09-29,70
2015-09-30,100
2015-10-01,79
2015-10-02,61
2015-10-03,87
2015-10-04,75
2015-10-05,45
2015-10-06,51
2015-10-07,37
2015-10-08,44
2015-10-09,45
2015-10-10,56
2015-10-11,68
2015-10-12,42
2015-10-13,47
2015-10-14,47
2015-10-15,40
2015-10-16,43
2015-10-17,58
2015-10-18,60
2015-10-19,39
2015-10-20,44
2015-10-21,36
2015-10-22,41
2015-10-23,45
2015-10-24,51
2015-10-25,45
2015-10-26,37
2015-10-27,41
2015-10-28,39
2015-10-29,37
2015-10-30,39
2015-10-31,58


Top regions for lol top
Region,lol top
United States,100


Top cities for lol top
Town/City,lol top
Hanoi (Vietnam),100



Top searches for lol top
lol top 20,100
top tier lol,65
lol top lane,60
top lol champions,60
lol counter,45



Rising searches for lol top
lol top 20,+950%



