Web Search interest: lol
Worldwide Mar-Apr 2010

Interest over time
Day,lol
2010-03-01,17
2010-03-02,18
2010-03-03,19
2010-03-04,19
2010-03-05,19
2010-03-06,33
2010-03-07,38
2010-03-08,26
2010-03-09,23
2010-03-10,23
2010-03-11,24
2010-03-12,26
2010-03-13,28
2010-03-14,29
2010-03-15,25
2010-03-16,28
2010-03-17,27
2010-03-18,27
2010-03-19,26
2010-03-20,29
2010-03-21,27
2010-03-22,24
2010-03-23,24
2010-03-24,25
2010-03-25,28
2010-03-26,26
2010-03-27,30
2010-03-28,28
2010-03-29,23
2010-03-30,24
2010-03-31,26
2010-04-01,46
2010-04-02,100
2010-04-03,64
2010-04-04,47
2010-04-05,35
2010-04-06,35
2010-04-07,36
2010-04-08,35
2010-04-09,35
2010-04-10,36
2010-04-11,35
2010-04-12,29
2010-04-13,27
2010-04-14,27
2010-04-15,26
2010-04-16,27
2010-04-17,28
2010-04-18,29
2010-04-19,24
2010-04-20,25
2010-04-21,25
2010-04-22,25
2010-04-23,26
2010-04-24,29
2010-04-25,28
2010-04-26,23
2010-04-27,25
2010-04-28,24
2010-04-29,27
2010-04-30,27


Top regions for lol
Region,lol
Italy,100
Australia,67
United Kingdom,45
France,40
Canada,35
United States,22
Poland,21
Netherlands,21
Germany,19
Spain,14
Brazil,11


Top cities for lol
Town/City,lol
Rome (Italy),100
Milan (Italy),78
Manchester (United Kingdom),53
Brentford (United Kingdom),52
Marseilles (France),46
Lisbon (Portugal),38
Toronto (Canada),37
Paris (France),34
Montréal (Canada),32
London (United Kingdom),29
Brussels (Belgium),25
Los Angeles (United States),25
New York (United States),22
Warsaw (Poland),21
Amsterdam (Netherlands),21



Top searches for lol
lol limewire,100
limewire,100
facebook lol,10
lol cats,10
league of legends,5
lol que,5
lol europe,5
lol download,5
lol face,5
lol streaming,5
my lol,5
lol pirate,5
lol games,5
lol meaning,5
limewire lol pirate,5
chuck norris,5
lol online,5
lol cat,5
what is lol,5
que significa lol,5
lol game,5
lemon party,5
lol smiley face,5
im feeling lucky,0
lol wiki,0
video lol,0
lol en streaming,0
fish lol,0
lol wikipedia,0
lol xd,0
otv lol,0
xd,0
otv,0
lol 4,0
lol limewire lyrics,0
lol limwire,0
mi sento fortunato,0
find chuck norris,0
lol internet,0
lol tv,0
wow lol,0
lol forum,0
vorrei diventare plurimiliardario,0
lol torrent,0



Rising searches for lol
find chuck norris,Breakout
im feeling lucky,Breakout
lemon party,Breakout
limewire,Breakout
limewire lol pirate,Breakout
lol limewire,Breakout
lol limewire lyrics,Breakout
lol limwire,Breakout
mi sento fortunato,Breakout
lol pirate,+600%



