Web Search interest: lol
Worldwide Jan-Feb 2009

Interest over time
Day,lol
2009-01-01,47
2009-01-02,45
2009-01-03,43
2009-01-04,47
2009-01-05,42
2009-01-06,41
2009-01-07,45
2009-01-08,39
2009-01-09,42
2009-01-10,47
2009-01-11,51
2009-01-12,42
2009-01-13,43
2009-01-14,47
2009-01-15,44
2009-01-16,44
2009-01-17,47
2009-01-18,45
2009-01-19,44
2009-01-20,44
2009-01-21,44
2009-01-22,46
2009-01-23,48
2009-01-24,47
2009-01-25,51
2009-01-26,46
2009-01-27,47
2009-01-28,47
2009-01-29,50
2009-01-30,54
2009-01-31,76
2009-02-01,64
2009-02-02,51
2009-02-03,50
2009-02-04,63
2009-02-05,54
2009-02-06,61
2009-02-07,86
2009-02-08,95
2009-02-09,61
2009-02-10,63
2009-02-11,70
2009-02-12,70
2009-02-13,70
2009-02-14,85
2009-02-15,100
2009-02-16,67
2009-02-17,67
2009-02-18,66
2009-02-19,72
2009-02-20,70
2009-02-21,93
2009-02-22,88
2009-02-23,66
2009-02-24,68
2009-02-25,66
2009-02-26,62
2009-02-27,69
2009-02-28,81


Top regions for lol
Region,lol
France,100
Australia,29
Canada,27
United Kingdom,23
Poland,22
United States,18
Germany,17


Top cities for lol
Town/City,lol
Rennes (France),100
Nantes (France),93
Orléans (France),90
Nancy (France),89
Lyon (France),86
Toulouse (France),84
Marseilles (France),80
Le Puy (France),79
Bordeaux (France),78
Courbevoie (France),70
Lille (France),69
Paris (France),57
Brussels (Belgium),25
Lisbon (Portugal),21
Toronto (Canada),17



Top searches for lol
lol cats,100
youtube lol,30
lol streaming,25
lol cat,20
musique lol,15
little sister,15
little sister lol,15
sophie marceau lol,15
torrent lol,15
sophie marceau,15
lol en streaming,10
lol bo,10
my lol,10
lol games,10
video lol,10
lol dogs,10
jérémy kapone,10
lol mael,10
mael,10
lol catz,10
jeremy kapone,10
lol wut,10
lol wikipedia,5
lol pics,5
rofl,5
lol tv,5
lol internet,5
lol allocine,5
lmao,5
omg,5
traduction lol,5
musique de lol,5
lol wiki,5
paroles little sister,5
telecharger lol,5
xd,5
what is lol,5
regarder lol,5



Rising searches for lol
little sister,Breakout
little sister lol,Breakout
lol bo,Breakout
lol en streaming,Breakout
lol streaming,Breakout
musique lol,Breakout
sophie marceau,Breakout
sophie marceau lol,Breakout
torrent lol,+140%
youtube lol,+50%



