Web Search interest: lpl
Worldwide Mar-Apr 2014

Interest over time
Day,lpl
2014-03-01,46
2014-03-02,34
2014-03-03,42
2014-03-04,44
2014-03-05,40
2014-03-06,40
2014-03-07,59
2014-03-08,45
2014-03-09,40
2014-03-10,51
2014-03-11,38
2014-03-12,42
2014-03-13,41
2014-03-14,47
2014-03-15,41
2014-03-16,41
2014-03-17,48
2014-03-18,41
2014-03-19,42
2014-03-20,42
2014-03-21,53
2014-03-22,54
2014-03-23,46
2014-03-24,41
2014-03-25,42
2014-03-26,46
2014-03-27,41
2014-03-28,55
2014-03-29,45
2014-03-30,40
2014-03-31,47
2014-04-01,47
2014-04-02,43
2014-04-03,39
2014-04-04,57
2014-04-05,50
2014-04-06,53
2014-04-07,49
2014-04-08,47
2014-04-09,53
2014-04-10,54
2014-04-11,59
2014-04-12,53
2014-04-13,45
2014-04-14,53
2014-04-15,59
2014-04-16,83
2014-04-17,78
2014-04-18,100
2014-04-19,90
2014-04-20,75
2014-04-21,66
2014-04-22,76
2014-04-23,65
2014-04-24,59
2014-04-25,85
2014-04-26,77
2014-04-27,53
2014-04-28,53
2014-04-29,54
2014-04-30,63


Top regions for lpl
Region,lpl
India,100
United States,60


Top cities for lpl
City,lpl
Mumbai (India),100
Pune (India),67



Top searches for lpl
lpl financial,100
lpl 2014,45
lol lpl,25
lpl score,15
lpl login,15
account view lpl,15
lpl live score,10



Rising searches for lpl
lpl live score,Breakout
lpl score,Breakout
lpl 2014,+110%
lol lpl,+90%



