Web Search interest: lpl
Worldwide May-Jun 2014

Interest over time
Day,lpl
2014-05-01,52
2014-05-02,58
2014-05-03,63
2014-05-04,39
2014-05-05,61
2014-05-06,67
2014-05-07,77
2014-05-08,70
2014-05-09,75
2014-05-10,54
2014-05-11,53
2014-05-12,51
2014-05-13,64
2014-05-14,70
2014-05-15,54
2014-05-16,49
2014-05-17,35
2014-05-18,54
2014-05-19,60
2014-05-20,62
2014-05-21,65
2014-05-22,70
2014-05-23,68
2014-05-24,84
2014-05-25,85
2014-05-26,46
2014-05-27,56
2014-05-28,89
2014-05-29,53
2014-05-30,88
2014-05-31,51
2014-06-01,100
2014-06-02,49
2014-06-03,47
2014-06-04,39
2014-06-05,43
2014-06-06,45
2014-06-07,37
2014-06-08,29
2014-06-09,42
2014-06-10,52
2014-06-11,41
2014-06-12,38
2014-06-13,37
2014-06-14,34
2014-06-15,38
2014-06-16,42
2014-06-17,46
2014-06-18,44
2014-06-19,45
2014-06-20,50
2014-06-21,43
2014-06-22,31
2014-06-23,43
2014-06-24,37
2014-06-25,44
2014-06-26,41
2014-06-27,48
2014-06-28,38
2014-06-29,23
2014-06-30,39


Top regions for lpl
Region,lpl
India,100
United States,42


Top cities for lpl
City,lpl
Pune (India),100
Mumbai (India),87
New Delhi (India),62



Top searches for lpl
lpl financial,100
lpl 2014,60
lpl live,45
lpl score,30
live lpl score,20
lpl login,20
lpl lol,20
lpl financial login,15



Rising searches for lpl
lpl score,+110%
lpl live,+90%
live lpl score,+80%
lpl financial login,+60%



