Web Search interest: lpl
Worldwide Jul-Aug 2015

Interest over time
Day,lpl
2015-07-01,33
2015-07-02,29
2015-07-03,30
2015-07-04,37
2015-07-05,34
2015-07-06,31
2015-07-07,34
2015-07-08,29
2015-07-09,22
2015-07-10,33
2015-07-11,22
2015-07-12,27
2015-07-13,33
2015-07-14,31
2015-07-15,31
2015-07-16,30
2015-07-17,64
2015-07-18,57
2015-07-19,48
2015-07-20,32
2015-07-21,31
2015-07-22,29
2015-07-23,30
2015-07-24,37
2015-07-25,41
2015-07-26,41
2015-07-27,31
2015-07-28,34
2015-07-29,31
2015-07-30,32
2015-07-31,44
2015-08-01,41
2015-08-02,30
2015-08-03,30
2015-08-04,29
2015-08-05,29
2015-08-06,29
2015-08-07,41
2015-08-08,48
2015-08-09,46
2015-08-10,40
2015-08-11,55
2015-08-12,50
2015-08-13,54
2015-08-14,41
2015-08-15,53
2015-08-16,69
2015-08-17,67
2015-08-18,44
2015-08-19,34
2015-08-20,27
2015-08-21,30
2015-08-22,25
2015-08-23,100
2015-08-24,43
2015-08-25,36
2015-08-26,31
2015-08-27,32
2015-08-28,32
2015-08-29,29
2015-08-30,20
2015-08-31,28


Top regions for lpl
Region,lpl
United States,100


Top cities for lpl
City,lpl
New York (United States),100



Top searches for lpl
lpl financial,100
lol lpl,55
lpl 2015,40
lpl login,25
lpl summer,25
lpl financial login,20
lpl summer 2015,15



Rising searches for lpl
lpl financial login,+170%
lpl summer 2015,+110%
lpl summer,+90%



