Web Search interest: lpl
Worldwide Sep-Oct 2011

Interest over time
Day,lpl
2011-09-01,87
2011-09-02,71
2011-09-03,51
2011-09-04,51
2011-09-05,51
2011-09-06,69
2011-09-07,69
2011-09-08,65
2011-09-09,89
2011-09-10,71
2011-09-11,71
2011-09-12,71
2011-09-13,60
2011-09-14,69
2011-09-15,83
2011-09-16,55
2011-09-17,62
2011-09-18,69
2011-09-19,76
2011-09-20,71
2011-09-21,66
2011-09-22,69
2011-09-23,70
2011-09-24,75
2011-09-25,80
2011-09-26,62
2011-09-27,78
2011-09-28,76
2011-09-29,64
2011-09-30,69
2011-10-01,73
2011-10-02,54
2011-10-03,73
2011-10-04,68
2011-10-05,77
2011-10-06,74
2011-10-07,73
2011-10-08,56
2011-10-09,78
2011-10-10,80
2011-10-11,74
2011-10-12,75
2011-10-13,81
2011-10-14,72
2011-10-15,51
2011-10-16,46
2011-10-17,100
2011-10-18,81
2011-10-19,70
2011-10-20,82
2011-10-21,82
2011-10-22,51
2011-10-23,63
2011-10-24,71
2011-10-25,66
2011-10-26,72
2011-10-27,82
2011-10-28,68
2011-10-29,49
2011-10-30,46
2011-10-31,69


Top regions for lpl
Region,lpl
United States,100





Top searches for lpl
lpl financial,100
lpl login,15






