Web Search interest: lpl
Worldwide Jan-Feb 2012

Interest over time
Day,lpl
2012-01-01,0
2012-01-02,60
2012-01-03,80
2012-01-04,92
2012-01-05,69
2012-01-06,62
2012-01-07,53
2012-01-08,55
2012-01-09,81
2012-01-10,84
2012-01-11,75
2012-01-12,74
2012-01-13,79
2012-01-14,61
2012-01-15,51
2012-01-16,53
2012-01-17,79
2012-01-18,79
2012-01-19,78
2012-01-20,83
2012-01-21,70
2012-01-22,54
2012-01-23,78
2012-01-24,91
2012-01-25,74
2012-01-26,71
2012-01-27,79
2012-01-28,53
2012-01-29,51
2012-01-30,89
2012-01-31,67
2012-02-01,72
2012-02-02,80
2012-02-03,76
2012-02-04,71
2012-02-05,46
2012-02-06,61
2012-02-07,100
2012-02-08,92
2012-02-09,84
2012-02-10,88
2012-02-11,60
2012-02-12,49
2012-02-13,82
2012-02-14,79
2012-02-15,82
2012-02-16,86
2012-02-17,86
2012-02-18,49
2012-02-19,52
2012-02-20,58
2012-02-21,90
2012-02-22,82
2012-02-23,80
2012-02-24,75
2012-02-25,63
2012-02-26,60
2012-02-27,69
2012-02-28,81
2012-02-29,64


Top regions for lpl
Region,lpl
United States,100





Top searches for lpl
lpl financial,100
lpl login,20



Rising searches for lpl
lpl login,+40%



