Web Search interest: lpl
Worldwide May-Jun 2012

Interest over time
Day,lpl
2012-05-01,83
2012-05-02,79
2012-05-03,69
2012-05-04,72
2012-05-05,59
2012-05-06,60
2012-05-07,75
2012-05-08,80
2012-05-09,76
2012-05-10,67
2012-05-11,75
2012-05-12,70
2012-05-13,54
2012-05-14,79
2012-05-15,75
2012-05-16,87
2012-05-17,85
2012-05-18,86
2012-05-19,67
2012-05-20,52
2012-05-21,60
2012-05-22,85
2012-05-23,83
2012-05-24,57
2012-05-25,79
2012-05-26,42
2012-05-27,100
2012-05-28,45
2012-05-29,57
2012-05-30,63
2012-05-31,52
2012-06-01,58
2012-06-02,48
2012-06-03,51
2012-06-04,60
2012-06-05,59
2012-06-06,71
2012-06-07,60
2012-06-08,51
2012-06-09,43
2012-06-10,50
2012-06-11,58
2012-06-12,63
2012-06-13,56
2012-06-14,61
2012-06-15,56
2012-06-16,51
2012-06-17,40
2012-06-18,80
2012-06-19,65
2012-06-20,58
2012-06-21,63
2012-06-22,70
2012-06-23,60
2012-06-24,46
2012-06-25,57
2012-06-26,74
2012-06-27,57
2012-06-28,57
2012-06-29,65
2012-06-30,36


Top regions for lpl
Region,lpl
United States,100





Top searches for lpl
lpl financial,100
lpl login,15






