Web Search interest: lpl
Worldwide Mar-Apr 2015

Interest over time
Day,lpl
2015-03-01,33
2015-03-02,29
2015-03-03,34
2015-03-04,33
2015-03-05,23
2015-03-06,41
2015-03-07,31
2015-03-08,41
2015-03-09,34
2015-03-10,31
2015-03-11,27
2015-03-12,32
2015-03-13,51
2015-03-14,51
2015-03-15,57
2015-03-16,35
2015-03-17,35
2015-03-18,37
2015-03-19,33
2015-03-20,47
2015-03-21,50
2015-03-22,44
2015-03-23,35
2015-03-24,38
2015-03-25,30
2015-03-26,31
2015-03-27,32
2015-03-28,30
2015-03-29,27
2015-03-30,30
2015-03-31,42
2015-04-01,32
2015-04-02,30
2015-04-03,50
2015-04-04,45
2015-04-05,47
2015-04-06,41
2015-04-07,45
2015-04-08,73
2015-04-09,64
2015-04-10,66
2015-04-11,73
2015-04-12,87
2015-04-13,51
2015-04-14,78
2015-04-15,64
2015-04-16,62
2015-04-17,65
2015-04-18,67
2015-04-19,69
2015-04-20,49
2015-04-21,45
2015-04-22,42
2015-04-23,45
2015-04-24,40
2015-04-25,64
2015-04-26,100
2015-04-27,47
2015-04-28,40
2015-04-29,41
2015-04-30,38


Top regions for lpl
Region,lpl
India,100
United States,56


Top cities for lpl
Town/City,lpl
Pune (India),100
Sucre (Bolivia),70
Mumbai (India),56



Top searches for lpl
lpl financial,100
lpl 2015,100
lol lpl,50
lpl live,40
lpl login,25
lpl score,25
lpl financial login,15
lpl match,15
lpl live score,15
lpl league,15
lpl spring,10
lpl 2015 schedule,10



Rising searches for lpl
lpl 2015 schedule,Breakout
lpl live score,Breakout
lpl match,Breakout
lpl score,Breakout
lpl live,+550%
lpl 2015,+90%



