New Zealand,0
Canada,60
Vietnam,71
Mexico,61
Sweden,139
Thailand,17
China,3
Australia,34
Poland,6
Slovakia,44
Belgium,50
United Arab Emirates,55
Turkey,89
India,98
Ecuador,8
Argentina,36
Venezuela,66
Bolivia,40
Lithuania,2
Estonia,117
United States,113
Bulgaria,168
Montenegro,44
Austria,71
Portugal,80
Philippines,17
Slovenia,6
Denmark,25
Israel,2
Russia,124
Chile,51
Belarus,84
Germany,41
Serbia,10
The Netherlands,37
Greece,68
South Korea,0
Uruguay,97
