United Arab Emirates,0
Ecuador,39
Mexico,70
Russia,30
Switzerland,5
New Zealand,31
India,7
Argentina,10
Philippines,18
South Korea,93
Australia,229
Macedonia,30
Colombia,27
Japan,7
Latvia,77
Belarus,104
Serbia,70
China,9
Poland,129
Italy,15
Thailand,3
Turkey,74
Paraguay,108
Brasil,123
Finland,35
Vietnam,18
Kosovo,20
Canada,94
France,35
Uruguay,150
Ukraine,6
Chile,81
Luxembourg,56
United States,20
Bolivia,17
Israel,10
Venezuela,14
Spain,45
Peru,0
Sweden,4
