New Zealand,0
Estonia,26
United States,20
Australia,114
United Arab Emirates,13
Sweden,10
Mexico,6
Spain,10
Portugal,31
Poland,110
Canada,7
Vietnam,17
Lithuania,39
India,22
Denmark,4
Ecuador,22
Finland,5
Serbia,16
Israel,7
Austria,44
Montenegro,19
San Marino,15
Malta,83
Switzerland,28
Romania,5
Hungary,55
Peru,20
Uruguay,58
Georgia,52
Iceland,20
Turkey,40
Belgium,47
United Kingdom,8
Kosovo,51
Belarus,14
France,2
China,29
Italy,0
Russia,31
