New Zealand,0
Mexico,98
Peru,90
Bolivia,3
Indonesia,68
Poland,38
Germany,9
China,16
Lithuania,33
Australia,124
Thailand,24
San Marino,148
Brasil,54
Denmark,46
Venezuela,67
Slovenia,285
Japan,30
Spain,63
Colombia,58
Uruguay,38
United States,4
Montenegro,73
Argentina,110
France,5
Switzerland,95
Iceland,99
South Korea,159
Canada,37
India,114
Chile,98
Hungary,45
Norway,65
Serbia,33
Ireland,88
United Arab Emirates,4
Ecuador,188
Romania,49
Paraguay,100
Luxembourg,0
Belarus,89
