New Zealand,0
Venezuela,128
Uruguay,30
Moldova,11
Belgium,44
Australia,36
Turkey,18
Ecuador,7
Ukraine,347
Canada,25
Switzerland,27
Japan,14
Philippines,101
Hungary,98
Latvia,98
Mexico,53
United States,30
Israel,101
China,172
Luxembourg,29
Denmark,15
Lithuania,99
Greece,194
South Korea,4
Iceland,77
Croatia,160
Sweden,39
United Arab Emirates,91
France,35
Finland,30
United Kingdom,32
Colombia,4
Norway,38
Portugal,45
Georgia,77
Bulgaria,11
Italy,11
Peru,168
Chile,17
San Marino,3
Slovakia,0
Spain,46
