Web Search interest: overwatch beta
Worldwide Jan-Feb 2015

Interest over time
Day,overwatch beta
2015-01-01,91
2015-01-02,99
2015-01-03,90
2015-01-04,90
2015-01-05,90
2015-01-06,0
2015-01-07,0
2015-01-08,0
2015-01-09,0
2015-01-10,0
2015-01-11,85
2015-01-12,100
2015-01-13,67
2015-01-14,66
2015-01-15,66
2015-01-16,66
2015-01-17,62
2015-01-18,62
2015-01-19,62
2015-01-20,62
2015-01-21,62
2015-01-22,66
2015-01-23,70
2015-01-24,73
2015-01-25,71
2015-01-26,71
2015-01-27,71
2015-01-28,0
2015-01-29,0
2015-01-30,0
2015-01-31,0
2015-02-01,0
2015-02-02,62
2015-02-03,63
2015-02-04,64
2015-02-05,65
2015-02-06,72
2015-02-07,79
2015-02-08,0
2015-02-09,0
2015-02-10,0
2015-02-11,0
2015-02-12,0
2015-02-13,65
2015-02-14,0
2015-02-15,0
2015-02-16,0
2015-02-17,0
2015-02-18,0
2015-02-19,0
2015-02-20,0
2015-02-21,0
2015-02-22,0
2015-02-23,0
2015-02-24,0
2015-02-25,0
2015-02-26,0
2015-02-27,0
2015-02-28,0



Top searches for overwatch beta
overwatch beta release,100



Rising searches for overwatch beta
overwatch beta release,+190%
overwatch beta date,+130%



