Web Search interest: overwatch trailer
Worldwide Nov-Dec 2014

Interest over time
Week,overwatch trailer
2014-11-02 - 2014-11-08,75
2014-11-09 - 2014-11-15,100
2014-11-16 - 2014-11-22,18
2014-11-23 - 2014-11-29,7
2014-11-30 - 2014-12-06,7
2014-12-07 - 2014-12-13,7
2014-12-14 - 2014-12-20,8
2014-12-21 - 2014-12-27,7
2014-12-28 - 2015-01-03,7



Top searches for overwatch trailer
blizzard overwatch trailer,100
overwatch blizzard,95



Rising searches for overwatch trailer
blizzard overwatch trailer,Breakout
overwatch blizzard,Breakout



