Colombia,0
Mexico,337
Latvia,524
India,140
Peru,459
The Netherlands,156
Canada,198
Serbia,483
Belgium,16
Slovenia,150
Moldova,36
Philippines,158
Australia,359
New Zealand,79
Turkey,180
Hungary,249
Greece,297
Austria,421
Brasil,747
United States,936
China,443
Paraguay,322
Slovakia,541
Ukraine,510
Israel,716
Kosovo,32
Poland,242
Uruguay,67
United Kingdom,222
United Arab Emirates,354
Norway,12
Estonia,226
Thailand,123
Sweden,0
Bolivia,400
