Web Search interest: smite game
Worldwide Jan-Feb 2014

Interest over time
Day,smite game
2014-01-01,0
2014-01-02,0
2014-01-03,88
2014-01-04,92
2014-01-05,89
2014-01-06,77
2014-01-07,83
2014-01-08,85
2014-01-09,70
2014-01-10,57
2014-01-11,92
2014-01-12,99
2014-01-13,64
2014-01-14,54
2014-01-15,79
2014-01-16,66
2014-01-17,72
2014-01-18,100
2014-01-19,98
2014-01-20,70
2014-01-21,65
2014-01-22,47
2014-01-23,67
2014-01-24,54
2014-01-25,72
2014-01-26,77
2014-01-27,66
2014-01-28,72
2014-01-29,63
2014-01-30,46
2014-01-31,78
2014-02-01,70
2014-02-02,69
2014-02-03,45
2014-02-04,57
2014-02-05,48
2014-02-06,64
2014-02-07,80
2014-02-08,63
2014-02-09,71
2014-02-10,64
2014-02-11,70
2014-02-12,71
2014-02-13,72
2014-02-14,68
2014-02-15,68
2014-02-16,53
2014-02-17,56
2014-02-18,62
2014-02-19,68
2014-02-20,51
2014-02-21,51
2014-02-22,76
2014-02-23,93
2014-02-24,62
2014-02-25,0
2014-02-26,0
2014-02-27,0
2014-02-28,0



Top searches for smite game
smite game download,100
smite the game,75






