Web Search interest: smite gods
Worldwide Jul-Aug 2014

Interest over time
Day,smite gods
2014-07-01,55
2014-07-02,56
2014-07-03,56
2014-07-04,63
2014-07-05,70
2014-07-06,59
2014-07-07,59
2014-07-08,71
2014-07-09,73
2014-07-10,76
2014-07-11,79
2014-07-12,54
2014-07-13,54
2014-07-14,54
2014-07-15,77
2014-07-16,73
2014-07-17,73
2014-07-18,73
2014-07-19,73
2014-07-20,100
2014-07-21,64
2014-07-22,72
2014-07-23,77
2014-07-24,83
2014-07-25,88
2014-07-26,93
2014-07-27,84
2014-07-28,91
2014-07-29,82
2014-07-30,77
2014-07-31,73
2014-08-01,85
2014-08-02,98
2014-08-03,83
2014-08-04,71
2014-08-05,66
2014-08-06,67
2014-08-07,69
2014-08-08,71
2014-08-09,72
2014-08-10,71
2014-08-11,62
2014-08-12,62
2014-08-13,54
2014-08-14,67
2014-08-15,64
2014-08-16,72
2014-08-17,67
2014-08-18,67
2014-08-19,56
2014-08-20,58
2014-08-21,59
2014-08-22,62
2014-08-23,64
2014-08-24,65
2014-08-25,0
2014-08-26,0
2014-08-27,0
2014-08-28,0
2014-08-29,0
2014-08-30,69
2014-08-31,0



Top searches for smite gods
smite best gods,100






