Web Search interest: smite gods
Worldwide Mar-Apr 2015

Interest over time
Day,smite gods
2015-03-01,81
2015-03-02,60
2015-03-03,60
2015-03-04,67
2015-03-05,74
2015-03-06,72
2015-03-07,72
2015-03-08,88
2015-03-09,61
2015-03-10,61
2015-03-11,66
2015-03-12,67
2015-03-13,75
2015-03-14,82
2015-03-15,83
2015-03-16,84
2015-03-17,0
2015-03-18,0
2015-03-19,0
2015-03-20,0
2015-03-21,0
2015-03-22,0
2015-03-23,0
2015-03-24,60
2015-03-25,70
2015-03-26,80
2015-03-27,90
2015-03-28,100
2015-03-29,74
2015-03-30,63
2015-03-31,63
2015-04-01,63
2015-04-02,66
2015-04-03,69
2015-04-04,73
2015-04-05,76
2015-04-06,78
2015-04-07,80
2015-04-08,82
2015-04-09,84
2015-04-10,86
2015-04-11,62
2015-04-12,62
2015-04-13,62
2015-04-14,0
2015-04-15,0
2015-04-16,0
2015-04-17,0
2015-04-18,0
2015-04-19,0
2015-04-20,65
2015-04-21,63
2015-04-22,63
2015-04-23,63
2015-04-24,68
2015-04-25,73
2015-04-26,78
2015-04-27,83
2015-04-28,60
2015-04-29,61
2015-04-30,73









