Web Search interest: smite gods
Worldwide Sep-Oct 2014

Interest over time
Day,smite gods
2014-09-01,0
2014-09-02,0
2014-09-03,0
2014-09-04,0
2014-09-05,58
2014-09-06,92
2014-09-07,71
2014-09-08,59
2014-09-09,59
2014-09-10,0
2014-09-11,0
2014-09-12,0
2014-09-13,0
2014-09-14,0
2014-09-15,0
2014-09-16,0
2014-09-17,63
2014-09-18,100
2014-09-19,86
2014-09-20,86
2014-09-21,0
2014-09-22,0
2014-09-23,0
2014-09-24,0
2014-09-25,0
2014-09-26,0
2014-09-27,81
2014-09-28,0
2014-09-29,0
2014-09-30,0
2014-10-01,0
2014-10-02,0
2014-10-03,59
2014-10-04,0
2014-10-05,0
2014-10-06,0
2014-10-07,0
2014-10-08,0
2014-10-09,0
2014-10-10,0
2014-10-11,0
2014-10-12,65
2014-10-13,65
2014-10-14,65
2014-10-15,65
2014-10-16,65
2014-10-17,65
2014-10-18,65
2014-10-19,54
2014-10-20,54
2014-10-21,53
2014-10-22,54
2014-10-23,54
2014-10-24,61
2014-10-25,0
2014-10-26,0
2014-10-27,0
2014-10-28,0
2014-10-29,0
2014-10-30,62
2014-10-31,65









