Web Search interest: smite gods
Worldwide Nov-Dec 2014

Interest over time
Day,smite gods
2014-11-01,87
2014-11-02,67
2014-11-03,67
2014-11-04,67
2014-11-05,67
2014-11-06,67
2014-11-07,74
2014-11-08,81
2014-11-09,88
2014-11-10,0
2014-11-11,0
2014-11-12,0
2014-11-13,0
2014-11-14,0
2014-11-15,0
2014-11-16,92
2014-11-17,70
2014-11-18,74
2014-11-19,79
2014-11-20,74
2014-11-21,74
2014-11-22,60
2014-11-23,60
2014-11-24,60
2014-11-25,91
2014-11-26,0
2014-11-27,0
2014-11-28,0
2014-11-29,0
2014-11-30,0
2014-12-01,0
2014-12-02,0
2014-12-03,0
2014-12-04,0
2014-12-05,0
2014-12-06,0
2014-12-07,78
2014-12-08,62
2014-12-09,0
2014-12-10,0
2014-12-11,0
2014-12-12,0
2014-12-13,0
2014-12-14,0
2014-12-15,0
2014-12-16,0
2014-12-17,0
2014-12-18,0
2014-12-19,0
2014-12-20,87
2014-12-21,94
2014-12-22,100
2014-12-23,0
2014-12-24,0
2014-12-25,0
2014-12-26,0
2014-12-27,0
2014-12-28,0
2014-12-29,65
2014-12-30,0
2014-12-31,0









