Web Search interest: smite guide
Worldwide Jul-Aug 2015

Interest over time
Day,smite guide
2015-07-01,58
2015-07-02,64
2015-07-03,70
2015-07-04,73
2015-07-05,75
2015-07-06,60
2015-07-07,60
2015-07-08,59
2015-07-09,65
2015-07-10,71
2015-07-11,77
2015-07-12,84
2015-07-13,61
2015-07-14,53
2015-07-15,56
2015-07-16,59
2015-07-17,62
2015-07-18,68
2015-07-19,100
2015-07-20,73
2015-07-21,73
2015-07-22,73
2015-07-23,73
2015-07-24,73
2015-07-25,52
2015-07-26,52
2015-07-27,52
2015-07-28,52
2015-07-29,55
2015-07-30,57
2015-07-31,63
2015-08-01,69
2015-08-02,0
2015-08-03,0
2015-08-04,0
2015-08-05,0
2015-08-06,0
2015-08-07,0
2015-08-08,0
2015-08-09,0
2015-08-10,0
2015-08-11,0
2015-08-12,0
2015-08-13,0
2015-08-14,0
2015-08-15,0
2015-08-16,0
2015-08-17,0
2015-08-18,0
2015-08-19,0
2015-08-20,0
2015-08-21,0
2015-08-22,0
2015-08-23,0
2015-08-24,0
2015-08-25,0
2015-08-26,64
2015-08-27,0
2015-08-28,0
2015-08-29,0
2015-08-30,0
2015-08-31,0



Top searches for smite guide
ezreal smite guide,100
ezreal guide,100



Rising searches for smite guide
ezreal guide,Breakout
ezreal smite guide,Breakout



