Web Search interest: smite guide
Worldwide Mar-Apr 2014

Interest over time
Day,smite guide
2014-03-01,0
2014-03-02,0
2014-03-03,0
2014-03-04,0
2014-03-05,0
2014-03-06,0
2014-03-07,0
2014-03-08,0
2014-03-09,0
2014-03-10,0
2014-03-11,0
2014-03-12,0
2014-03-13,0
2014-03-14,0
2014-03-15,0
2014-03-16,0
2014-03-17,0
2014-03-18,0
2014-03-19,0
2014-03-20,66
2014-03-21,71
2014-03-22,75
2014-03-23,80
2014-03-24,70
2014-03-25,70
2014-03-26,70
2014-03-27,70
2014-03-28,64
2014-03-29,81
2014-03-30,92
2014-03-31,74
2014-04-01,76
2014-04-02,87
2014-04-03,98
2014-04-04,83
2014-04-05,66
2014-04-06,66
2014-04-07,56
2014-04-08,65
2014-04-09,75
2014-04-10,84
2014-04-11,60
2014-04-12,96
2014-04-13,78
2014-04-14,67
2014-04-15,71
2014-04-16,71
2014-04-17,71
2014-04-18,66
2014-04-19,78
2014-04-20,90
2014-04-21,68
2014-04-22,100
2014-04-23,57
2014-04-24,0
2014-04-25,0
2014-04-26,0
2014-04-27,0
2014-04-28,0
2014-04-29,78
2014-04-30,0









