Web Search interest: smite guide
Worldwide 2014

Interest over time
Week,smite guide
2014-01-05 - 2014-01-11,51
2014-01-12 - 2014-01-18,51
2014-01-19 - 2014-01-25,55
2014-01-26 - 2014-02-01,57
2014-02-02 - 2014-02-08,62
2014-02-09 - 2014-02-15,52
2014-02-16 - 2014-02-22,60
2014-02-23 - 2014-03-01,53
2014-03-02 - 2014-03-08,48
2014-03-09 - 2014-03-15,38
2014-03-16 - 2014-03-22,46
2014-03-23 - 2014-03-29,70
2014-03-30 - 2014-04-05,100
2014-04-06 - 2014-04-12,98
2014-04-13 - 2014-04-19,89
2014-04-20 - 2014-04-26,81
2014-04-27 - 2014-05-03,73
2014-05-04 - 2014-05-10,87
2014-05-11 - 2014-05-17,72
2014-05-18 - 2014-05-24,59
2014-05-25 - 2014-05-31,82
2014-06-01 - 2014-06-07,56
2014-06-08 - 2014-06-14,78
2014-06-15 - 2014-06-21,70
2014-06-22 - 2014-06-28,61
2014-06-29 - 2014-07-05,65
2014-07-06 - 2014-07-12,74
2014-07-13 - 2014-07-19,89
2014-07-20 - 2014-07-26,69
2014-07-27 - 2014-08-02,89
2014-08-03 - 2014-08-09,92
2014-08-10 - 2014-08-16,74
2014-08-17 - 2014-08-23,74
2014-08-24 - 2014-08-30,76
2014-08-31 - 2014-09-06,63
2014-09-07 - 2014-09-13,56
2014-09-14 - 2014-09-20,51
2014-09-21 - 2014-09-27,45
2014-09-28 - 2014-10-04,46
2014-10-05 - 2014-10-11,51
2014-10-12 - 2014-10-18,43
2014-10-19 - 2014-10-25,63
2014-10-26 - 2014-11-01,54
2014-11-02 - 2014-11-08,45
2014-11-09 - 2014-11-15,47
2014-11-16 - 2014-11-22,47
2014-11-23 - 2014-11-29,49
2014-11-30 - 2014-12-06,43
2014-12-07 - 2014-12-13,47
2014-12-14 - 2014-12-20,41
2014-12-21 - 2014-12-27,71
2014-12-28 - 2015-01-03,70


Top regions for smite guide
Region,smite guide
United States,100





Top searches for smite guide
smite build guide,100
smite jungle guide,80
thor guide smite,30
smite thanatos guide,30
smite god guide,30
smite loki guide,30
nemesis guide smite,30
smite arena guide,30
ra guide smite,25
smite gods,25
smite neith guide,25
smite kali guide,25



Rising searches for smite guide
nemesis guide smite,Breakout
smite thanatos guide,+70%
smite arena guide,+50%
smite jungle guide,+40%



