Web Search interest: smite wiki
Worldwide May-Jun 2014

Interest over time
Day,smite wiki
2014-05-01,59
2014-05-02,60
2014-05-03,61
2014-05-04,62
2014-05-05,62
2014-05-06,62
2014-05-07,62
2014-05-08,56
2014-05-09,56
2014-05-10,0
2014-05-11,0
2014-05-12,0
2014-05-13,0
2014-05-14,0
2014-05-15,0
2014-05-16,0
2014-05-17,0
2014-05-18,72
2014-05-19,91
2014-05-20,67
2014-05-21,67
2014-05-22,67
2014-05-23,67
2014-05-24,100
2014-05-25,69
2014-05-26,69
2014-05-27,0
2014-05-28,0
2014-05-29,0
2014-05-30,0
2014-05-31,0
2014-06-01,0
2014-06-02,0
2014-06-03,0
2014-06-04,0
2014-06-05,0
2014-06-06,0
2014-06-07,0
2014-06-08,0
2014-06-09,75
2014-06-10,61
2014-06-11,72
2014-06-12,83
2014-06-13,59
2014-06-14,59
2014-06-15,59
2014-06-16,59
2014-06-17,0
2014-06-18,0
2014-06-19,0
2014-06-20,0
2014-06-21,0
2014-06-22,0
2014-06-23,0
2014-06-24,64
2014-06-25,69
2014-06-26,74
2014-06-27,79
2014-06-28,85
2014-06-29,90
2014-06-30,0









