Web Search interest: smite youtube
Worldwide Sep-Oct 2014

Interest over time
Day,smite youtube
2014-09-01,0
2014-09-02,94
2014-09-03,64
2014-09-04,64
2014-09-05,77
2014-09-06,90
2014-09-07,76
2014-09-08,0
2014-09-09,0
2014-09-10,0
2014-09-11,0
2014-09-12,0
2014-09-13,0
2014-09-14,0
2014-09-15,0
2014-09-16,0
2014-09-17,0
2014-09-18,0
2014-09-19,0
2014-09-20,0
2014-09-21,0
2014-09-22,0
2014-09-23,0
2014-09-24,0
2014-09-25,0
2014-09-26,0
2014-09-27,95
2014-09-28,63
2014-09-29,63
2014-09-30,63
2014-10-01,0
2014-10-02,0
2014-10-03,0
2014-10-04,0
2014-10-05,0
2014-10-06,0
2014-10-07,0
2014-10-08,72
2014-10-09,79
2014-10-10,87
2014-10-11,74
2014-10-12,74
2014-10-13,70
2014-10-14,70
2014-10-15,70
2014-10-16,70
2014-10-17,70
2014-10-18,66
2014-10-19,66
2014-10-20,66
2014-10-21,70
2014-10-22,62
2014-10-23,64
2014-10-24,65
2014-10-25,92
2014-10-26,94
2014-10-27,96
2014-10-28,98
2014-10-29,100
2014-10-30,0
2014-10-31,0









