Web Search interest: smite youtube
Worldwide Jan-Feb 2015

Interest over time
Day,smite youtube
2015-01-01,0
2015-01-02,0
2015-01-03,0
2015-01-04,0
2015-01-05,0
2015-01-06,64
2015-01-07,86
2015-01-08,69
2015-01-09,69
2015-01-10,75
2015-01-11,100
2015-01-12,61
2015-01-13,75
2015-01-14,94
2015-01-15,78
2015-01-16,61
2015-01-17,61
2015-01-18,61
2015-01-19,61
2015-01-20,61
2015-01-21,70
2015-01-22,82
2015-01-23,94
2015-01-24,89
2015-01-25,60
2015-01-26,60
2015-01-27,65
2015-01-28,81
2015-01-29,72
2015-01-30,72
2015-01-31,79
2015-02-01,64
2015-02-02,64
2015-02-03,64
2015-02-04,64
2015-02-05,65
2015-02-06,66
2015-02-07,68
2015-02-08,69
2015-02-09,76
2015-02-10,83
2015-02-11,90
2015-02-12,61
2015-02-13,0
2015-02-14,0
2015-02-15,0
2015-02-16,0
2015-02-17,0
2015-02-18,100
2015-02-19,0
2015-02-20,0
2015-02-21,0
2015-02-22,0
2015-02-23,0
2015-02-24,0
2015-02-25,78
2015-02-26,0
2015-02-27,0
2015-02-28,0









