Web Search interest: smite youtube
Worldwide Nov-Dec 2014

Interest over time
Day,smite youtube
2014-11-01,0
2014-11-02,0
2014-11-03,0
2014-11-04,94
2014-11-05,96
2014-11-06,98
2014-11-07,100
2014-11-08,0
2014-11-09,0
2014-11-10,0
2014-11-11,0
2014-11-12,0
2014-11-13,0
2014-11-14,81
2014-11-15,71
2014-11-16,71
2014-11-17,71
2014-11-18,71
2014-11-19,71
2014-11-20,74
2014-11-21,77
2014-11-22,80
2014-11-23,0
2014-11-24,0
2014-11-25,0
2014-11-26,0
2014-11-27,0
2014-11-28,0
2014-11-29,80
2014-11-30,0
2014-12-01,0
2014-12-02,0
2014-12-03,0
2014-12-04,0
2014-12-05,71
2014-12-06,67
2014-12-07,67
2014-12-08,67
2014-12-09,67
2014-12-10,67
2014-12-11,72
2014-12-12,76
2014-12-13,81
2014-12-14,0
2014-12-15,0
2014-12-16,0
2014-12-17,0
2014-12-18,0
2014-12-19,80
2014-12-20,0
2014-12-21,0
2014-12-22,0
2014-12-23,0
2014-12-24,0
2014-12-25,0
2014-12-26,0
2014-12-27,0
2014-12-28,0
2014-12-29,0
2014-12-30,74
2014-12-31,0









