Web Search interest: smite youtube
Worldwide Jan-Feb 2015

Interest over time
Day,smite youtube
2015-01-01,0
2015-01-02,0
2015-01-03,0
2015-01-04,100
2015-01-05,71
2015-01-06,71
2015-01-07,71
2015-01-08,67
2015-01-09,97
2015-01-10,96
2015-01-11,96
2015-01-12,76
2015-01-13,60
2015-01-14,68
2015-01-15,75
2015-01-16,82
2015-01-17,75
2015-01-18,58
2015-01-19,58
2015-01-20,58
2015-01-21,60
2015-01-22,62
2015-01-23,64
2015-01-24,67
2015-01-25,68
2015-01-26,70
2015-01-27,57
2015-01-28,57
2015-01-29,57
2015-01-30,67
2015-01-31,77
2015-02-01,61
2015-02-02,61
2015-02-03,65
2015-02-04,69
2015-02-05,0
2015-02-06,0
2015-02-07,0
2015-02-08,0
2015-02-09,0
2015-02-10,0
2015-02-11,66
2015-02-12,0
2015-02-13,0
2015-02-14,0
2015-02-15,0
2015-02-16,0
2015-02-17,58
2015-02-18,93
2015-02-19,0
2015-02-20,0
2015-02-21,0
2015-02-22,0
2015-02-23,0
2015-02-24,0
2015-02-25,65
2015-02-26,66
2015-02-27,0
2015-02-28,0









