Web Search interest: smite youtube
Worldwide Jul-Aug 2015

Interest over time
Day,smite youtube
2015-07-01,0
2015-07-02,0
2015-07-03,0
2015-07-04,0
2015-07-05,85
2015-07-06,84
2015-07-07,0
2015-07-08,0
2015-07-09,0
2015-07-10,0
2015-07-11,0
2015-07-12,0
2015-07-13,0
2015-07-14,0
2015-07-15,0
2015-07-16,0
2015-07-17,0
2015-07-18,0
2015-07-19,0
2015-07-20,0
2015-07-21,0
2015-07-22,0
2015-07-23,0
2015-07-24,100
2015-07-25,89
2015-07-26,89
2015-07-27,69
2015-07-28,69
2015-07-29,69
2015-07-30,0
2015-07-31,0
2015-08-01,0
2015-08-02,0
2015-08-03,0
2015-08-04,0
2015-08-05,0
2015-08-06,76
2015-08-07,77
2015-08-08,79
2015-08-09,81
2015-08-10,82
2015-08-11,84
2015-08-12,69
2015-08-13,69
2015-08-14,74
2015-08-15,0
2015-08-16,0
2015-08-17,0
2015-08-18,0
2015-08-19,0
2015-08-20,0
2015-08-21,82
2015-08-22,73
2015-08-23,73
2015-08-24,73
2015-08-25,73
2015-08-26,73
2015-08-27,78
2015-08-28,80
2015-08-29,81
2015-08-30,0
2015-08-31,0









