Slovenia,0
Australia,319
Canada,251
Mexico,9
South Korea,5
Indonesia,28
Colombia,90
France,149
Montenegro,106
United States,23
United Arab Emirates,118
New Zealand,108
Kosovo,16
Vietnam,138
Georgia,104
Belgium,57
Ecuador,2
Serbia,54
Austria,3
Philippines,69
Greece,79
Israel,156
San Marino,150
Chile,22
Bolivia,54
India,9
Ireland,1
Ukraine,59
Argentina,15
Finland,277
Peru,133
Norway,41
Spain,5
Lithuania,33
Moldova,214
The Netherlands,23
Croatia,32
Poland,106
Russia,15
Luxembourg,86
China,35
Japan,0
Thailand,0
