United States,0
Canada,18
Austria,166
Hungary,93
Spain,8
Peru,87
New Zealand,58
United Arab Emirates,265
France,20
Uruguay,107
Switzerland,120
Ukraine,70
Romania,94
Australia,19
Norway,8
Finland,329
Lithuania,41
South Korea,98
Estonia,158
Croatia,76
Mexico,196
Kosovo,1
Iceland,38
Poland,52
The Netherlands,141
Slovenia,545
Germany,50
Philippines,165
Montenegro,5
Ireland,15
Colombia,26
Greece,59
Slovakia,36
Israel,19
Indonesia,53
Vietnam,0
Belarus,93
